Predictors;Equations;Method;Criterion;Correlation;Pm;R2;R2_t;Prediction
;;KNeighborsRegressor;0.1996436245320967;0.9798685744443931;100.0;0.9601424231836873;0.9381723877361849;224.4035730643664
;;KNeighborsRegressor;0.5528562769787192;0.8332766269404355;86.66666666666667;0.6943499370052297;0.7597197193585816;230.18783579024225
S_2802, H_2802, X2, X3, Xs, L_2802; - 58.01 + 1.038*S_2802 + 0.374*H_2802 + 0.452*X2 + 0.342*X3 + 0.444*Xs + 1.42*L_2802;Lars6;0.5612585677516003;0.8276405138255511;73.33333333333333;0.6849888201254223;0.7098444220162414;208.2735738371396
S_2802, Smax, H_2802, X, X3, L_2802;33.579 + 0.252*S_2802 + 0.342*Smax + 0.098*H_2802 + 0.458*X + 0.346*X3 + 0.921*L_2802;Lars6;0.6627285594277705;0.7488597041627971;63.33333333333333;0.5607908565187919;0.5858963757376562;192.63610767606397
Smax, H_2802, X, X1, X3, L_max; - 84.678 + 0.897*Smax + 0.342*H_2802 + 0.437*X + 0.009*X1 + 0.488*X3 + 1.473*L_max;Lars6;0.7591358125052285;0.6509322684980569;73.33333333333333;0.42371281817202655;0.43816085933446436;255.9768155984402
;;KNeighborsRegressor;0.7932469730673481;0.6089000244042447;73.33333333333333;0.3707592397194899;0.5112667011214977;213.33957485364073
