Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Criterion_f;Correlation_f;Pm_f;R2_f
;;KNeighborsRegressor;0.20660705844771865;0.9784239998076402;96.66666666666667;0.957313523399581;0.18320461026872736;0.98307480426277;97.0;0.9664360707762837;0.15589442383835586;0.9877737233881588;98.0;0.975696928616107
;;AdaBoostRegressor;0.23913211826884587;0.9709870390547212;96.66666666666667;0.9428158300122547;0.20159192494891015;0.9794695992195944;97.0;0.959360695795393;0.2049139701839026;0.9787799879561652;97.0;0.9580102648234707
;;BaggingRegressor;0.35236605840991053;0.9358622552922324;96.66666666666667;0.8758381608806636;0.35864955823294337;0.9334722783132419;89.0;0.8713704943793146;0.32633444207951146;0.9452543741832957;90.0;0.893505831912654
;;StackingRegressorRidge;0.4524781212984691;0.8917755041187261;86.66666666666667;0.7952635497462079;0.4773728446408076;0.8787008405592562;83.0;0.7721151671995433;0.4803480408833387;0.8770779666708874;84.0;0.7692657596195385
;;ExtraTreesRegressor;0.45971319720946463;0.888067439055983;80.0;0.7886637763114519;0.48738860933741657;0.873185171362947;83.0;0.7624523434881392;0.4917561235035087;0.8707329757145998;83.0;0.7581759149968019
;;VotingRegressor;0.46160852640401434;0.8870837437080641;83.33333333333334;0.7869175683511144;0.4920580143265398;0.8705624104778604;82.0;0.7578789105370227;0.4577823795816925;0.8890642794222042;83.0;0.7904352929445232
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;45.511 + 0.875*S_2802 + 0.455*H_2802 + 0.662*X2 - 0.01*X3 + 0.24*Xs + 0.45*L_2802 + 0.346*Y_sum;HuberRegressor;0.557479268339996;0.8301908608091894;80.0;0.6892168653711028;0.5544202518269042;0.8322368559275611;75.0;0.6926181843641921;0.5497997776963203;0.8352964769739405;77.0;0.6977202044450768
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum;LinearRegression;0.5583914307748871;0.8295776094116658;76.66666666666667;0.6881990100371745;0.5573149281477134;0.8303011928593798;72.0;0.6894000708637091;0.5529526513370493;0.8332126771595159;73.0;0.6942433653793277
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum;LarsCV;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.5573149281477123;0.8303011928593805;72.0;0.6894000708637102;0.5529526513370494;0.8332126771595157;73.0;0.6942433653793276
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum;Lars7;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.5573149281477123;0.8303011928593805;72.0;0.6894000708637102;0.5529526513370494;0.8332126771595157;73.0;0.6942433653793276
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum;Lars8;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.5573149281477123;0.8303011928593805;72.0;0.6894000708637102;0.5529526513370494;0.8332126771595157;73.0;0.6942433653793276
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum;Lars9;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.5573149281477123;0.8303011928593805;72.0;0.6894000708637102;0.5529526513370494;0.8332126771595157;73.0;0.6942433653793276
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum;Lars10;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.5573149281477123;0.8303011928593805;72.0;0.6894000708637102;0.5529526513370494;0.8332126771595157;73.0;0.6942433653793276
S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum;Lars11;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.5573149281477123;0.8303011928593805;72.0;0.6894000708637102;0.5529526513370494;0.8332126771595157;73.0;0.6942433653793276
