Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Criterion_f;Correlation_f;Pm_f;R2_f
;;BaggingRegressor;0.5260477579040044;0.85045502903103;78.78787878787878;0.72327375640417;0.4306861904583309;0.902501748113814;85.0;0.8145094053484904;0.41046252803277933;0.9118774660451588;88.0;0.8315205130809399
;;ExtraTreesRegressor;0.5484891237995906;0.8361576891194372;72.72727272727273;0.6991596810735574;0.486264903735985;0.8738114461339089;82.0;0.7635464433946333;0.4950662356099822;0.8688552367103289;84.0;0.7549094223589615
;;VotingRegressor;0.5496393073022672;0.8354020779650264;75.75757575757575;0.6978966318682839;0.4678575146009425;0.883803907001677;82.0;0.7811093460314289;0.4577298666453612;0.8890913165591147;86.0;0.7904833691808199
;;StackingRegressorRidge;0.5506596720042788;0.8347298518851115;75.75757575757575;0.6967739256281402;0.4980268693970479;0.867161598180279;83.0;0.7519692373585758;0.5204660281105549;0.8538823769014225;84.0;0.7291151135828231
;;KNeighborsRegressor;0.5982276915060161;0.801326168994488;78.78787878787878;0.6421236291153829;0.5363077350319749;0.8440225194536417;84.0;0.712374013344873;0.5467876154249619;0.8372713440802115;84.0;0.701023303617884
;;HistGradientBoostingRegressor;0.6030590974988885;0.7976965117911862;75.75757575757575;0.636319724923826;0.5360586274255729;0.8441807555035894;81.0;0.7126411479626109;0.5131243012199379;0.8583143081048751;81.0;0.7367034514975505
;;RandomForestRegressor;0.6147703692839155;0.7887061512696083;78.78787878787878;0.6220573930505182;0.496228777660432;0.8681917992135342;85.0;0.7537570002216335;0.47767340026492794;0.8785374907648176;87.0;0.771828122679342
S_2802, H_2802;405.378 + 2.436*S_2802 + 0.161*H_2802;OMP2;0.7397971347173372;0.6728299929878409;69.6969696969697;0.45270019946401807;0.6541615334853714;0.756354869163984;73.0;0.5720726881080673;0.6526566197579319;0.7576538369771186;73.0;0.5740393366861503
S_2802, H_2802, X;363.772 + 2.248*S_2802 + 0.198*H_2802 + 0.364*X;OMP3;0.739893279067258;0.6727242641611054;69.6969696969697;0.4525579355911008;0.6650267198618135;0.7468195644664359;74.0;0.557739461869837;0.6623350895558486;0.7492077343054101;74.0;0.5613122291430459
S_2802;451.44 + 2.329*S_2802;OMP1;0.7414213178350815;0.6710398121271876;66.66666666666666;0.4502944294596911;0.6570514928685709;0.7538456975530088;71.0;0.5682833357191824;0.6557493777638198;0.7549786444412604;71.0;0.5699927535623632
S_2802, Smax, H_2802, X, X2;385.346 + 2.077*S_2802 - 0.053*Smax + 0.169*H_2802 + 0.128*X + 0.714*X2;Lars5;0.7433411176251561;0.6689125375172631;66.66666666666666;0.44744398284778397;0.6813307069163705;0.7319757289779756;72.0;0.5357884678128388;0.6684829376782105;0.743727478336729;72.0;0.5531305620331097
S_2802, Smax, X, X2;454.833 + 1.702*S_2802 + 0.168*Smax + 0.181*X + 0.052*X2;Lars4;0.7459486789613787;0.6660034296876961;63.63636363636363;0.44356056835577395;0.6800928820620178;0.7331259590060758;73.0;0.5374736717685784;0.668573521682162;0.7436460489409674;72.0;0.5530094461055117
S_2802, Smax, X;457.312 + 1.684*S_2802 + 0.172*Smax + 0.187*X;Lars3;0.7465821265586912;0.6652932648863225;63.63636363636363;0.44261512830310246;0.6813020250411481;0.7320024253203201;73.0;0.5358275506748309;0.669610601841663;0.74271235475199;72.0;0.5516216419012459
S_2802, X;483.533 + 1.633*S_2802 + 0.126*X;Lars2;0.7591837521785804;0.6508763557143952;66.66666666666666;0.423640030428052;0.7081470729526942;0.7060649566920395;72.0;0.49852772306853177;0.7242433894678657;0.6895444241034057;72.0;0.47547151281209743
S_2802, Smax, H_2802, X, X2;358.494 + 2.982*S_2802 - 1.033*Smax + 0.293*H_2802 + 0.114*X + 1.234*X2;Lars6;0.7693840385084272;0.6387865068146501;69.6969696969697;0.4080482012884632;0.7375026889795329;0.6753441965012792;72.0;0.4560897837479585;0.7222915124274026;0.6915887297197195;67.0;0.47829497107533536
S_2802;522.564 + 1.294*S_2802;Lars1;0.7890909065734407;0.6142764370892843;63.63636363636363;0.3773355411631055;0.7527126936129258;0.6583491481531465;71.0;0.4334236008739738;0.7371791785003621;0.6756973129926827;72.0;0.4565668587855315
S_2802, Smax, H_2802, X, X2, Xs;346.321 + 3.371*S_2802 - 1.48*Smax + 0.359*H_2802 + 0.215*X + 1.471*X2 - 0.113*Xs;Lars7;0.7926037478999165;0.6097370735120226;66.66666666666666;0.3717792988150057;0.7717837892861255;0.6358850388200288;69.0;0.40434978259514953;0.7982496964319192;0.6023266739455831;56.99999999999999;0.3627974221463487
S_2802, Smax, H_2802, X, X1, X2, Xs;344.341 + 3.448*S_2802 - 1.565*Smax + 0.374*H_2802 + 0.192*X - 0.084*X1 + 1.578*X2 - 0.091*Xs;LarsCV;0.7972802889696482;0.6036092617086606;66.66666666666666;0.3643441408204744;0.7795913919308162;0.6262884811549487;69.0;0.3922372616273726;0.7265854942665104;0.687076065309723;68.0;0.4720735195214909
