Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Criterion_f;Correlation_f;Pm_f;R2_f
;;KNeighborsRegressor;0.22075333613226947;0.9753296696945465;100.0;0.9512679645864732;0.3945217619711062;0.9188865976447876;91.0;0.8443525793312139;0.3368544710114273;0.9415567244513798;96.0;0.8865290653596115
;;AdaBoostRegressor;0.2369945476678723;0.9715109800592583;93.75;0.9438335843757006;0.256032127351201;0.9666682728651118;97.0;0.9344475497640183;0.261366934916093;0.9652395170798629;96.0;0.9316873253325668
;;RandomForestRegressor;0.3082206319814464;0.9513149016077472;100.0;0.9050000420209579;0.3915936275289682;0.9201382672613414;90.0;0.8466544308787037;0.370594625927547;0.9287947153346758;95.0;0.8626596232336214
;;VotingRegressor;0.3138911441695436;0.9494589773191545;96.875;0.9014723496119348;0.3570946096688275;0.9340682200703906;97.0;0.8724834397454677;0.33675705636992026;0.9415915701539953;99.0;0.8865946849850663
;;HistGradientBoostingRegressor;0.35338901046513177;0.9354764600365286;93.75;0.875116207282475;0.3731468771067831;0.9277722824623806;94.0;0.8607614081054553;0.380926364692614;0.9246053778137296;95.0;0.8548951046820696
;;BaggingRegressor;0.3713551186362272;0.9284909131826081;90.625;0.8620953758626736;0.37287601998132713;0.9278811743552539;98.0;0.860963473722885;0.35229016549456277;0.9358908265902672;98.0;0.8758916392958136
;;ExtraTreesRegressor;0.39536679545967884;0.9185233241719801;90.625;0.8436850970479445;0.39566139834137554;0.9183964600664286;90.0;0.8434520578625474;0.37322277841381707;0.9277417516060549;94.0;0.8607047576730709
;;StackingRegressorRidge;0.4188869127436328;0.9080384101634182;87.5;0.8245337543321082;0.40774593917495694;0.9130954216763615;89.0;0.8337432490863323;0.39089068217426604;0.9204371106106799;92.0;0.847204474589337
S_2802, H_2802, X, X1, X2, Xs, Q12, Q01, Q02;238.5 + 2.815*S_2802 + 0.481*H_2802 - 0.521*X - 1.685*X1 + 2.402*X2 + 1.624*Xs + 0.285*Q12 - 0.05*Q01 - 0.016*Q02;Lars9;0.5941205748699622;0.8043759957359404;78.125;0.6470207425161857;0.5836402849954375;0.8120123260951427;73.0;0.6593640177304446;0.630007520432633;0.7765890317267722;70.0;0.6030905241983255
S_2802, H_2802, X, Q12, Q01;321.335 + 2.945*S_2802 + 0.328*H_2802 + 1.179*X + 0.244*Q12 - 0.053*Q01;OMPCV;0.6615502622244451;0.749900827143675;71.875;0.562351250550768;0.592364974157381;0.8056697446171883;71.0;0.6491037373915254;0.5922781653367512;0.8057335631989846;71.0;0.6492065748653321
S_2802, H_2802, X, Q12, Q01;321.335 + 2.945*S_2802 + 0.328*H_2802 + 1.179*X + 0.244*Q12 - 0.053*Q01;OMP5;0.6615502622244451;0.749900827143675;71.875;0.562351250550768;0.592364974157381;0.8056697446171883;71.0;0.6491037373915254;0.5922781653367512;0.8057335631989846;71.0;0.6492065748653321
S_2802, H_2802, X, X2, Xs, Q12, Q01, Q02;247.823 + 2.808*S_2802 + 0.437*H_2802 + 0.959*X + 0.789*X2 + 0.138*Xs + 0.273*Q12 - 0.024*Q01 - 0.019*Q02;Lars8;0.6647683518178011;0.7470495555325926;68.75;0.5580830384214444;0.5975610638151801;0.8018234063757869;71.0;0.6429207750120702;0.5939385553463399;0.8045104054473768;75.0;0.6472369924731027
S_2802, H_2802, X, X2, Xs, Q12, Q01;256.449 + 2.791*S_2802 + 0.416*H_2802 + 0.976*X + 0.756*X2 + 0.11*Xs + 0.27*Q12 - 0.025*Q01;Lars7;0.6670256615444398;0.7450347420363713;68.75;0.5550767668412026;0.5998965526070144;0.8000775750952026;72.0;0.6401241261702197;0.6005781623086287;0.7995660516542648;71.0;0.6393058709579904
S_2802, H_2802, X, X2, Q12;320.01 + 2.664*S_2802 + 0.318*H_2802 + 1.035*X + 0.478*X2 + 0.231*Q12;Lars5;0.6763626596489251;0.7365687697918182;68.75;0.5425335526326324;0.6166717027194646;0.7872204335921904;69.0;0.6197160110650763;0.6253006471708932;0.7803839443810092;70.0;0.6089991006476622
S_2802, H_2802, X, X2, Q12, Q01;298.241 + 2.711*S_2802 + 0.359*H_2802 + 1.04*X + 0.579*X2 + 0.241*Q12 - 0.01*Q01;Lars6;0.6769453491966656;0.7360332833513743;65.625;0.5417449942010045;0.6126354996140863;0.790365576560998;70.0;0.6246777446125991;0.6112785126106612;0.7914155545732581;71.0;0.6263385800204977
S_2802, H_2802, X, X2, Q12, Q01;204.085 + 2.914*S_2802 + 0.536*H_2802 + 1.063*X + 1.016*X2 + 0.285*Q12 - 0.053*Q01;OMP6;0.6863107966152542;0.7273083874460236;68.75;0.5289774904493354;0.6015614168101462;0.7988265530172176;72.0;0.6381238618053696;0.6030108227243399;0.7977330052575954;72.0;0.6363779476773148
S_2802, H_2802, X, X2, Q12, Q01, Q02;196.545 + 2.935*S_2802 + 0.627*H_2802 + 1.066*X + 1.034*X2 + 0.265*Q12 - 0.024*Q01 - 0.133*Q02;OMP7;0.6890127836007482;0.7247491869845377;68.75;0.5252613840347484;0.6037740640352482;0.7971554927354888;71.0;0.63545687959836;0.6052235929015494;0.7960555273316929;73.0;0.6337044025953398
S_2802, X, Q12, Q01;402.748 + 2.507*S_2802 + 1.349*X + 0.347*Q12 - 0.037*Q01;OMP4;0.6927574602657274;0.7211706464119149;75.0;0.5200871012461792;0.6188278960913619;0.7855265972703526;71.0;0.6170520350191386;0.6190598889871914;0.7853437806764412;71.0;0.6167648538471662
S_2802, H_2802, X, Q12;419.33 + 2.366*S_2802 + 0.13*H_2802 + 1.072*X + 0.227*Q12;Lars4;0.6934072233085142;0.7205459198854548;68.75;0.5191864226635764;0.6419898586504986;0.766713128484124;67.0;0.5878490213899128;0.6426528632356662;0.7661574886242385;67.0;0.5869972973750003
S_2802, H_2802, X, X1, X2, Q12, Q01;213.928 + 2.718*S_2802 + 0.518*H_2802 + 1.011*X - 0.114*X1 + 0.795*X2 + 0.254*Q12 - 0.006*Q01;QuantileRegressor;0.7094128346882689;0.7047931824156325;75.0;0.49673342997955505;0.6327412021274694;0.7743633327645911;74.0;0.599638571130285;0.6279492524144186;0.7782542877441619;74.0;0.6056797363921729
S_2802, Smax, H_2802, X, X1, X2, Q12, Q01, Q02;245.939 + 4.276*S_2802 - 1.773*Smax + 0.719*H_2802 + 1.103*X - 0.583*X1 + 1.554*X2 + 0.272*Q12 - 0.062*Q01 - 0.221*Q02;OMP9;0.7250437600500298;0.688702799480672;71.875;0.4743115460125148;0.6544076013196358;0.7561419782918288;72.0;0.5717506913350807;0.9478754529992787;0.3186410607586728;51.0;0.10153212560141234
