year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;X3;Xs
1977;12.12.1976;18;41;20.02.1977;164;202;20.04.1977;38;95;71;72;61
1978;28.11.1977;88;94;25.02.1978;128;280;18.03.1978;92;12;12;108;92
1979;02.12.1978;120;125;15.02.1979;130;553;05.04.1979;102;39;38;134;102
1980;08.12.1979;54;88;15.03.1980;102;313;13.04.1980;102;13;35;67;80
1981;31.10.1980;14;33;31.01.1981;176;280;19.03.1981;102;42;20;186;123
1982;02.12.1981;62;79;31.12.1981;114;247;17.03.1982;63;57;10;121;107
1983;03.02.1983;16;22;20.02.1983;166;234;04.04.1983;13;73;71;132;14
1984;29.11.1983;39;44;10.02.1984;99;173;04.04.1984;86;16;15;92;87
1985;11.11.1984;57;73;15.03.1985;68;324;08.04.1985;101;25;38;114;88
1986;15.11.1985;97;97;28.02.1986;122;320;07.04.1986;120;24;23;135;121
1987;08.12.1986;60;66;15.02.1987;101;329;09.04.1987;71;57;49;93;79
1988;05.12.1987;14;32;15.03.1988;132;399;05.04.1988;133;44;59;112;116
1989;27.11.1988;0;40;31.01.1989;116;127;03.03.1989;89;31;3;120;116
1991;16.12.1990;22;44;20.02.1991;188;203;27.03.1991;62;26;18;152;70
1992;05.12.1991;0;17;05.02.1992;137;164;04.03.1992;56;40;3;103;90
1993;30.12.1992;29;29;28.02.1993;191;210;22.03.1993;77;19;18;151;78
1994;10.11.1993;38;45;05.03.1994;243;380;22.03.1994;161;31;39;139;155
1995;14.12.1994;0;10;20.12.1994;177;196;11.03.1995;8;112;23;165;97
1996;03.11.1995;108;117;15.03.1996;91;325;19.04.1996;125;31;41;124;115
1999;09.11.1998;38;41;25.02.1999;118;328;08.04.1999;107;52;46;197;113
2001;19.12.2000;7;18;05.02.2001;77;135;21.03.2001;57;42;25;70;74
2003;30.11.2002;39;54;05.03.2003;109;220;17.03.2003;89;22;29;199;82
2004;31.12.2003;47;61;10.03.2004;141;273;01.04.2004;131;25;34;126;127
2005;16.01.2005;53;53;28.02.2005;138;196;29.03.2005;51;44;44;138;52
2006;19.11.2005;54;71;15.03.2006;115;280;16.04.2006;141;34;53;73;123
2007;23.01.2007;66;66;28.02.2007;191;200;21.03.2007;56;23;21;120;58
2008;22.12.2007;0;16;25.03.2008;122;135;04.03.2008;142;0;14;95;89
2009;13.12.2008;13;21;20.01.2009;140;156;02.04.2009;30;104;46;137;89
2010;11.12.2009;46;81;15.02.2010;164;321;05.04.2010;96;56;38;163;118
2011;27.11.2010;26;54;10.01.2011;189;195;23.03.2011;69;63;6;183;123
2012;14.01.2012;18;51;20.02.2012;152;184;19.03.2012;39;39;17;90;60
2013;02.12.2012;66;100;05.04.2013;163;301;29.04.2013;201;25;77;142;144
2015;24.11.2014;0;10;10.02.2015;91;115;06.03.2015;97;18;8;119;107
2017;03.01.2017;0;44;20.01.2017;234;263;03.03.2017;27;38;7;238;62
2018;08.01.2018;19;36;05.03.2018;154;196;06.04.2018;64;37;46;194;58
2019;21.11.2018;0;36;31.01.2019;220;141;19.03.2019;138;57;39;148;152
2021;06.12.2020;19;75;15.02.2021;135;180;17.03.2021;139;14;13;88;140
