Dataset_name;Group;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Augmentation;Aug-Mirror;Data size;X_scaling;Y_scaling;Shuffle;Equation;Predictors
Вилия-Стешицы;1;Lars6;0.7299272425261586;0.6835248500370403;53.333333333333336;0.4672062206181584;0.6778309595551822;0.7352177842438938;64.0;0.540545190268501;Spline 2;;808;;;Yes;Yes;Smax, H_2802, X, X1, X3, L_max
Неман-Белица;0;KNeighborsRegressor;0.38248186557607494;0.9239629984503954;89.1891891891892;0.8537076225054454;0.380716760837406;0.9246917043087785;94.0;0.8550547480174734;Spline 2;;824;;;Yes;;
Неман-Белица;2;KNeighborsRegressor;0.41428799470312055;0.910145844051857;86.48648648648648;0.8283654574448671;0.448563858968156;0.8937507842948146;84.0;0.7987904644275963;Spline 2;;797;;;Yes;;
Неман-Белица;1;KNeighborsRegressor;0.4765881431094334;0.8791266927169838;86.48648648648648;0.7728637418475022;0.5570726638017853;0.8304637543233196;84.0;0.6896700472447832;Spline 2;;788;;;Yes;;
Неман-Белица;0;Lars6;0.6251811587483223;0.7804796722183769;78.37837837837837;0.6091485187461052;0.6075696749630709;0.7942663848264437;84.0;0.6308590900652684;Spline 2;;824;;;Yes;Yes;S_2802, H_2802, X, X1, X2, X3
Неман-Белица;2;Lars6;0.6512499731852145;0.758863276503915;75.67567567567568;0.5758734724262575;0.6034645043283775;0.7973898619970696;82.0;0.6358305920157057;Spline 2;;797;;;Yes;Yes;S_2802, H_2802, X2, X3, Xs
Неман-Белица;1;Lars6;0.7112940713031504;0.7028945469478255;75.67567567567568;0.49406074412898904;0.585473879866226;0.8106912704565086;80.0;0.657220335994388;Spline 2;;788;;;Yes;Yes;Smax, H_2802, X, X1, X3
Неман-Гродно;0;KNeighborsRegressor;0.20363105704402387;0.9790476967988503;100.0;0.9585343926071335;0.251822628181196;0.9677734052638123;98.0;0.9365853639359152;Spline 2;;829;;;Yes;;
Неман-Гродно;1;KNeighborsRegressor;0.21939501586994872;0.9756361140360811;97.2972972972973;0.951865827011425;0.4025023758923922;0.9154189409232143;90.0;0.8379918374009795;Spline 2;;799;;;Yes;;
Неман-Гродно;2;KNeighborsRegressor;0.2890959927904569;0.9573001133147849;97.2972972972973;0.9164235069525001;0.32039717383158833;0.9472833002859973;93.0;0.8973456510007309;Spline 2;;797;;;Yes;;
Неман-Гродно;0;Lars6;0.6111822662539352;0.7914898845953142;75.67567567567568;0.626456237416704;0.6084630507404396;0.793582204868303;83.0;0.6297727158836373;Spline 2;;829;;;Yes;Yes;S_2802, Smax, H_2802, X1, X3, Xs
Неман-Гродно;2;Lars6;0.6140205406689855;0.7892900453170347;75.67567567567568;0.6229787756365668;0.5908004393591963;0.8068177246770057;83.0;0.6509548408529804;Spline 2;;797;;;Yes;Yes;S_2802, H_2802, X2, X3, Xs
Неман-Гродно;1;Lars6;0.6832346203426318;0.7301989136976716;78.37837837837837;0.5331904535652596;0.5864391620918917;0.8099932772344224;83.0;0.65608910916496;Spline 2;;799;;;Yes;Yes;Smax, H_2802, X, X1, X3
