Group;Prediction;Criterion;Correlation;Pm;R2;R2_t;Method;Predictors;Equations
2;366;0.39217863663722907;0.9198890786205499;86.48648648648648;0.8461959169653642;0.7975895394035181;KNeighborsRegressor;;
2;313;0.42441789121129014;0.9054664287646238;86.48648648648648;0.8198694536197615;0.8126201008255981;VotingRegressor;;
2;281;0.44050600100530973;0.8977496661532713;86.48648648648648;0.8059544630783101;0.8109610510615142;StackingRegressorRidge;;
2;304;0.4424393647815414;0.8967984213253869;89.1891891891892;0.8042474084917062;0.7931847375173058;RandomForestRegressor;;
2;275;0.444173126096783;0.8959409768804033;86.48648648648648;0.8027102340534114;0.7906334195637053;BaggingRegressor;;
2;288;0.44863097021539367;0.8937170987306858;86.48648648648648;0.7987302525635945;0.8072242651507016;ExtraTreesRegressor;;
2;368;0.45156935927639746;0.8922360190906349;83.78378378378379;0.7960851137627039;0.810241407733334;AdaBoostRegressor;;
2;295;0.47089819057423665;0.8821875617542507;83.78378378378379;0.7782548941139099;0.8131264566946517;HistGradientBoostingRegressor;;
0;286;0.5976902121257784;0.8017271420683236;86.48648648648648;0.642766410329042;0.6043267356569431;BaggingRegressor;;
0;363;0.6189252436093171;0.7854498983532606;78.37837837837837;0.6169315428231475;0.5206046639757207;KNeighborsRegressor;;
0;308;0.6329102992541986;0.774225130758464;89.1891891891892;0.5994245530979607;0.5029747187300979;VotingRegressor;;
0;291;0.6437909849725898;0.7652013902679625;89.1891891891892;0.5855331676680227;0.5195898330266919;ExtraTreesRegressor;;
0;290;0.6438994019430847;0.7651101621187225;86.48648648648648;0.5853935601773379;0.5220268769906222;StackingRegressorRidge;;
2;286;0.6513856960160737;0.7587467792522452;75.67567567567568;0.5756966750256554;0.5289872667076183;ElasticNetCV;S_2802, H_2802, X2, X3, Xs;92.224 + 1.523*S_2802 + 0.204*H_2802 + 0.824*X2 + 0.234*X3 + 0.271*Xs
2;287;0.6513950753953166;0.7587387269348586;75.67567567567568;0.5756844557507298;0.5288340037375558;BayesianRidge;S_2802, H_2802, X2, X3, Xs;91.361 + 1.524*S_2802 + 0.206*H_2802 + 0.828*X2 + 0.234*X3 + 0.272*Xs
2;286;0.6514473501556692;0.7586938446930731;75.67567567567568;0.575616349975157;0.5288400775499396;LassoCV;S_2802, H_2802, X2, X3, Xs;91.622 + 1.525*S_2802 + 0.205*H_2802 + 0.829*X2 + 0.234*X3 + 0.271*Xs
