Predictors;Equations;Method;Criterion;Correlation;Pm;R2;R2_t;Prediction
Smax, H_2802, X, X1, X3, L_max; - 84.678 + 0.897*Smax + 0.342*H_2802 + 0.437*X + 0.009*X1 + 0.488*X3 + 1.473*L_max;Lars6;0.7591358125052285;0.6509322684980569;73.33333333333333;0.42371281817202655;0.43816085933446436;248.71387446459656
;;KNeighborsRegressor;0.7932469730673481;0.6089000244042447;73.33333333333333;0.3707592397194899;0.5112667011214977;244.43385261103495
