Group;Prediction;Predictors;Equations;Method;Criterion;Correlation;Pm;R2;R2_t
2;141.47817704586635;;;KNeighborsRegressor;0.3662084745018983;0.9305328329527081;89.1891891891892;0.8658913532029925;0.7931748133143853
2;142.58312409789343;;;AdaBoostRegressor;0.3710674860856699;0.9286059017527625;91.8918918918919;0.8623089207700612;0.8452458261830306
2;193.49614688578225;;;BaggingRegressor;0.44567339902885916;0.8951956330311622;83.78378378378379;0.8013752213980633;0.8011653972304169
0;202.22823931872762;;;BaggingRegressor;0.4464430560126887;0.8948120460398661;94.5945945945946;0.8006885977380512;0.7596440509742985
2;229.60506656443224;;;VotingRegressor;0.4615618847933881;0.8871080128744048;89.1891891891892;0.7869606265059752;0.7921580986103862
2;204.94371903992197;;;ExtraTreesRegressor;0.462538956395591;0.8865989588401724;89.1891891891892;0.7860577138164775;0.7976304334778536
2;198.75964239818813;;;StackingRegressorRidge;0.47005808190934517;0.8826354851419171;83.78378378378379;0.7790453996317074;0.8018188908580705
0;201.50703778593746;;;ExtraTreesRegressor;0.49811876470983;0.8671088145348039;83.78378378378379;0.751877696243953;0.7227734611411163
0;213.01473999106383;;;VotingRegressor;0.4992444993040727;0.8664611531480368;83.78378378378379;0.7507549299146257;0.7105804366028382
0;191.97834402469388;;;StackingRegressorRidge;0.5023467144159302;0.8646662815881743;81.08108108108108;0.7476477785155198;0.7254013419645715
0;257.35987467338373;;;RandomForestRegressor;0.505875937801433;0.8626062459509093;91.8918918918919;0.7440895355535206;0.6722798136713535
2;260.00123083052347;;;RandomForestRegressor;0.505958888013967;0.8625575943898877;86.48648648648648;0.7440056036396699;0.7468756771294297
0;141.30096026123377;;;KNeighborsRegressor;0.5190645346895003;0.8547350518304326;89.1891891891892;0.7305720088275724;0.6073287200055631
2;235.9965975308635;;;HistGradientBoostingRegressor;0.5448139205138601;0.8385569700469475;86.48648648648648;0.7031777920143173;0.8139057410540866
0;197.08195260156322;;;HistGradientBoostingRegressor;0.5450620312180339;0.8383957192904024;72.97297297297297;0.7029073821244711;0.7290551657471103
1;287.72873576739374;;;BaggingRegressor;0.550372690928745;0.8349190985238343;81.08108108108108;0.6970899010798521;0.6980969159244994
1;296.2922688996994;;;ExtraTreesRegressor;0.5644521410025327;0.8254657960919137;81.08108108108108;0.6813937805176569;0.6865756181567555
