Group;Prediction;Criterion;Correlation;Pm;R2;R2_t;Method;Predictors;Equations
2;319;0.29288070998386834;0.9561489892895068;94.5945945945946;0.9142208897193452;0.9440615353674453;AdaBoostRegressor;;
2;316;0.3133003556494757;0.9496540881552146;91.8918918918919;0.901842887149912;0.8985492089993911;KNeighborsRegressor;;
2;296;0.36184712208922226;0.9322374484195255;97.2972972972973;0.8690666602357475;0.8634472351451139;VotingRegressor;;
2;265;0.36790143896637684;0.9298647918952891;91.8918918918919;0.8646485312064693;0.8491147960877891;BaggingRegressor;;
2;258;0.3712682970174794;0.9285256332647692;97.2972972972973;0.8621598516297408;0.8634306656022653;StackingRegressorRidge;;
2;295;0.3771672254561453;0.9261451743877486;97.2972972972973;0.8577448840417132;0.8459547982268705;HistGradientBoostingRegressor;;
2;266;0.3866141093608513;0.9222415792204968;97.2972972972973;0.8505295304431157;0.8501376255148829;ExtraTreesRegressor;;
2;308;0.41262942822121673;0.910898981756941;97.2972972972973;0.8297369549658318;0.8216878249979915;RandomForestRegressor;;
0;270;0.5861358884221014;0.8102127623677832;89.1891891891892;0.6564447203036339;0.6279443331866916;BaggingRegressor;;
0;346;0.5942774790798796;0.8042600809803152;70.27027027027027;0.6468342778584633;0.6223478798395614;AdaBoostRegressor;;
0;340;0.6003390079773254;0.7997456317484959;70.27027027027027;0.6395930755008008;0.6916312932019708;KNeighborsRegressor;;
0;307;0.6082972995269483;0.7937092637661615;81.08108108108108;0.6299743953882222;0.5709139853408867;VotingRegressor;;
0;206;0.6103754918886557;0.7921122135794155;75.67567567567568;0.6274417589016817;0.6647499655195288;OMP3;S_2802, H_2802, X3;158.13 + 2.389*S_2802 - 0.154*H_2802 + 0.474*X3
2;246;0.6109651161475271;0.791657518659956;78.37837837837837;0.6267216268508387;0.6388696848405415;OMP4;S_2802, H_2802, X3, Xs;137.034 + 2.416*S_2802 - 0.176*H_2802 + 0.457*X3 + 0.302*Xs
2;204;0.6110550723509963;0.7915880864149729;75.67567567567568;0.6266116985541187;0.6206145171397865;OMP3;S_2802, H_2802, X3;156.198 + 2.444*S_2802 - 0.156*H_2802 + 0.475*X3
0;227;0.6116588957312644;0.7911216058690409;78.37837837837837;0.6258733952728104;0.6760177719918001;OMP5;S_2802, H_2802, X1, X3, Xs;128.308 + 2.464*S_2802 - 0.185*H_2802 + 0.58*X1 + 0.397*X3 + 0.241*Xs
0;227;0.6116588957312644;0.7911216058690409;78.37837837837837;0.6258733952728104;0.6760177719918001;OMPCV;S_2802, H_2802, X1, X3, Xs;128.308 + 2.464*S_2802 - 0.185*H_2802 + 0.58*X1 + 0.397*X3 + 0.241*Xs
2;255;0.6122993043096084;0.7906260569586419;75.67567567567568;0.6250895619419696;0.6301076800061878;ElasticNetCV;S_2802, H_2802, X2, X3, Xs;111.74 + 2.311*S_2802 - 0.095*H_2802 + 0.692*X2 + 0.458*X3 + 0.294*Xs
2;256;0.6123188105851224;0.7906109499644063;75.67567567567568;0.6250656742036211;0.63025162368697;LassoCV;S_2802, H_2802, X2, X3, Xs;111.255 + 2.316*S_2802 - 0.095*H_2802 + 0.695*X2 + 0.46*X3 + 0.294*Xs
2;256;0.6123739814986586;0.790568217665927;75.67567567567568;0.6249981067834807;0.6301998934198836;BayesianRidge;S_2802, H_2802, X2, X3, Xs;111.1 + 2.311*S_2802 - 0.095*H_2802 + 0.698*X2 + 0.46*X3 + 0.297*Xs
2;256;0.6124000058567355;0.7905480585180577;78.37837837837837;0.6249662328266703;0.6303674833179655;RidgeCV;S_2802, H_2802, X2, X3, Xs;110.523 + 2.317*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars10;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars11;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars12;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars13;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars14;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars5;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars6;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars7;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars8;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;Lars9;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;LarsCV;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;LassoLarsCV;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;LinearRegression;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
2;256;0.6124001530613564;0.7905479444856126;78.37837837837837;0.6249660525304273;0.6303682858791124;OMP5;S_2802, H_2802, X2, X3, Xs;110.52 + 2.318*S_2802 - 0.095*H_2802 + 0.702*X2 + 0.462*X3 + 0.297*Xs
