Group;Prediction;Criterion;Correlation;Pm;R2;R2_t;Method;Predictors;Equations
2;526;0.3200434177756238;0.9474028766783947;90.9090909090909;0.8975722107384976;0.8341003254555381;KNeighborsRegressor;;
2;540;0.4040420782226275;0.9147403997996044;87.87878787878788;0.8367499990255401;0.8378975903277353;AdaBoostRegressor;;
2;542;0.4140739099683435;0.9102432625861772;90.9090909090909;0.8285427970835282;0.8227591975771484;VotingRegressor;;
2;563;0.4354572849669472;0.9002093939574364;84.84848484848484;0.810376952969215;0.8402119244814606;ExtraTreesRegressor;;
2;591;0.4638792914767331;0.8858984156995903;81.81818181818183;0.7848160029390441;0.701785525968728;HistGradientBoostingRegressor;;
2;511;0.519731012860691;0.8543299563229656;78.78787878787878;0.7298796742708002;0.7936503221806903;RandomForestRegressor;;
0;597;0.5260477579040044;0.85045502903103;78.78787878787878;0.72327375640417;0.8145094053484904;BaggingRegressor;;
0;597;0.5484891237995906;0.8361576891194372;72.72727272727273;0.6991596810735574;0.7635464433946333;ExtraTreesRegressor;;
0;588;0.5496393073022672;0.8354020779650264;75.75757575757575;0.6978966318682839;0.7811093460314289;VotingRegressor;;
0;598;0.5506596720042788;0.8347298518851115;75.75757575757575;0.6967739256281402;0.7519692373585758;StackingRegressorRidge;;
1;595;0.572275021319519;0.8200617659504338;78.78787878787878;0.6725012999737441;0.6805441646757695;VotingRegressor;;
1;554;0.5723238612829387;0.8200276811219165;78.78787878787878;0.6724453978061876;0.6705872270787672;KNeighborsRegressor;;
1;651;0.5822446540033642;0.813013630196015;78.78787878787878;0.6609911628845028;0.7351443631993688;ExtraTreesRegressor;;
0;616;0.5982276915060161;0.801326168994488;78.78787878787878;0.6421236291153829;0.712374013344873;KNeighborsRegressor;;
0;613;0.6030590974988885;0.7976965117911862;75.75757575757575;0.636319724923826;0.7126411479626109;HistGradientBoostingRegressor;;
0;552;0.6147703692839155;0.7887061512696083;78.78787878787878;0.6220573930505182;0.7537570002216335;RandomForestRegressor;;
1;572;0.621027553439367;0.7837887329307013;81.81818181818183;0.6143247778691141;0.5904666609033851;HistGradientBoostingRegressor;;
1;631;0.6605758418056824;0.7507593204367922;78.78787878787878;0.5636395572227142;0.6240075714052666;BaggingRegressor;;
2;556;0.6684038885814239;0.7437985222687873;63.63636363636363;0.5532362417292316;0.6314910831561071;BaggingRegressor;;
1;569;0.6736575822678208;0.7390436129573641;75.75757575757575;0.5461854618530743;0.6703823853861944;AdaBoostRegressor;;
1;596;0.7056862094352534;0.7085245047370653;78.78787878787878;0.5020069738129038;0.5778978071899314;RandomForestRegressor;;
0;571;0.7397971347173372;0.6728299929878409;69.6969696969697;0.45270019946401807;0.5720726881080673;OMP2;S_2802, H_2802;405.378 + 2.436*S_2802 + 0.161*H_2802
0;608;0.739893279067258;0.6727242641611054;69.6969696969697;0.4525579355911008;0.557739461869837;OMP3;S_2802, H_2802, X;363.772 + 2.248*S_2802 + 0.198*H_2802 + 0.364*X
2;570;0.7400148519962566;0.6725905283491275;69.6969696969697;0.45237801882495865;0.6046547705277647;OMP2;S_2802, H_2802;407.656 + 2.45*S_2802 + 0.148*H_2802
0;545;0.7414213178350815;0.6710398121271876;66.66666666666666;0.4502944294596911;0.5682833357191824;OMP1;S_2802;451.44 + 2.329*S_2802
2;544;0.7418613680363397;0.6705532869319563;66.66666666666666;0.4496417106152506;0.5906384199240844;OMP1;S_2802;450.35 + 2.349*S_2802
2;588;0.7424831842771744;0.6698647035526111;66.66666666666666;0.4487187210656275;0.5868016222209105;Lars3;S_2802, H_2802, X2;363.596 + 2.151*S_2802 + 0.221*H_2802 + 1.062*X2
0;589;0.7433411176251561;0.6689125375172631;66.66666666666666;0.44744398284778397;0.5357884678128388;Lars5;S_2802, Smax, H_2802, X, X2;385.346 + 2.077*S_2802 - 0.053*Smax + 0.169*H_2802 + 0.128*X + 0.714*X2
2;555;0.7445712577193905;0.6675429890113183;63.63636363636363;0.445613642178165;0.5628601086829996;Lars2;S_2802, X2;468.047 + 1.916*S_2802 + 0.271*X2
0;574;0.7459486789613787;0.6660034296876961;63.63636363636363;0.44356056835577395;0.5374736717685784;Lars4;S_2802, Smax, X, X2;454.833 + 1.702*S_2802 + 0.168*Smax + 0.181*X + 0.052*X2
