Group;Prediction;Criterion;Correlation;Pm;R2;R2_t;Method;Predictors;Equations
2;241;0.20660705844771865;0.9784239998076402;96.66666666666667;0.957313523399581;0.9664360707762837;KNeighborsRegressor;;
2;239;0.23913211826884587;0.9709870390547212;96.66666666666667;0.9428158300122547;0.959360695795393;AdaBoostRegressor;;
2;229;0.35236605840991053;0.9358622552922324;96.66666666666667;0.8758381608806636;0.8713704943793146;BaggingRegressor;;
2;232;0.4524781212984691;0.8917755041187261;86.66666666666667;0.7952635497462079;0.7721151671995433;StackingRegressorRidge;;
2;233;0.45971319720946463;0.888067439055983;80.0;0.7886637763114519;0.7624523434881392;ExtraTreesRegressor;;
2;242;0.46160852640401434;0.8870837437080641;83.33333333333334;0.7869175683511144;0.7578789105370227;VotingRegressor;;
2;248;0.557479268339996;0.8301908608091894;80.0;0.6892168653711028;0.6926181843641921;HuberRegressor;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;45.511 + 0.875*S_2802 + 0.455*H_2802 + 0.662*X2 - 0.01*X3 + 0.24*Xs + 0.45*L_2802 + 0.346*Y_sum
2;244;0.5583914307748871;0.8295776094116658;76.66666666666667;0.6881990100371745;0.6894000708637091;LinearRegression;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
2;244;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.6894000708637102;Lars10;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
2;244;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.6894000708637102;Lars11;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
2;244;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.6894000708637102;Lars12;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
2;244;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.6894000708637102;Lars13;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
2;244;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.6894000708637102;Lars14;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
2;244;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.6894000708637102;Lars7;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
2;244;0.5583914307748873;0.8295776094116657;76.66666666666667;0.6881990100371744;0.6894000708637102;Lars8;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum;55.76 + 0.858*S_2802 + 0.419*H_2802 + 0.731*X2 - 0.001*X3 + 0.259*Xs + 0.421*L_2802 + 0.178*Y_sum
