Predictors;Equations;Method;Criterion;Correlation;Pm
Smax, H, X1, X3;66.75 + 2.06*Smax + 0.37*H + 0.44*X1 + 0.34*X3;Lars4;0.6757100042550294;0.7371675455075788;80.0
Smax, H, X1, X3;80.37 + 1.99*Smax + 0.36*H + 0.34*X1 + 0.3*X3;Lasso;0.6767458726596159;0.7362166962506181;80.0
Smax, H, X, X1, X3;49.87 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3;ElasticNet;0.677135848197193;0.7358580318826914;80.0
Smax, H, X, X1, X3;50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3;LassoLars;0.6771359966081518;0.7358578953150431;80.0
Smax, H, X, X1, X3;49.66 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3;Ridge;0.6771796833485025;0.735817692407584;80.0
Smax, H, X, X1, X3;49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3;LinearRegression;0.6771864236569988;0.7358114891836385;80.0
Smax, H, X, X1, X3;49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3;Lars5;0.6771864236569988;0.7358114891836385;80.0
Smax, H, X, X1, X3;49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3;Lars6;0.6771864236569988;0.7358114891836385;80.0
Smax, H, X, X1, X3;49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3;Lars7;0.6771864236569988;0.7358114891836385;80.0
Smax, H, X, X1, X3;49.63 + 2.09*Smax + 0.39*H + 0.05*X + 0.56*X1 + 0.37*X3;Lars8;0.6771864236569988;0.7358114891836385;80.0
Smax, H, X3;124.08 + 1.74*Smax + 0.33*H + 0.19*X3;Lars3;0.6884606958817765;0.7252736519590244;85.71428571
Smax, H, X3;150.41 + 1.6*Smax + 0.29*H + 0.07*X3;ElasticNetCV;0.7043707955903025;0.7098322212463198;85.71428571
Smax, H, X3;150.41 + 1.6*Smax + 0.29*H + 0.07*X3;LarsCV;0.7043714966319394;0.7098315255977871;85.71428571
Smax, H;166.25 + 1.52*Smax + 0.27*H;Lars2;0.716629346183693;0.6974542136859828;82.85714286
Smax;240.21 + 0.77*Smax;Lars1;0.8474710185553462;0.5308416644431406;60.0
