Year;Hmax fact;Hf-Havg;(Hf-Havg)^2;Error climate;Hmax forecast;Hf-Hfor;(Hf-Hfor)^2;Error forecast
1978.0;340.0;60.0;3600.0;0.9200000166893005;379.0;-39.0;1521.0;-0.6000000238418579
1979.0;628.0;348.0;121104.0;5.349999904632568;480.0;148.0;21904.0;2.2799999713897705
1980.0;342.0;62.0;3844.0;0.949999988079071;350.0;-8.0;64.0;-0.11999999731779099
1981.0;282.0;2.0;4.0;0.029999999329447746;307.0;-25.0;625.0;-0.3799999952316284
1982.0;399.0;119.0;14161.0;1.8300000429153442;366.0;33.0;1089.0;0.5099999904632568
1983.0;269.0;-11.0;121.0;-0.17000000178813934;288.0;-19.0;361.0;-0.28999999165534973
1984.0;206.0;-74.0;5476.0;-1.1399999856948853;249.0;-43.0;1849.0;-0.6600000262260437
1985.0;336.0;56.0;3136.0;0.8600000143051147;301.0;35.0;1225.0;0.5400000214576721
1986.0;329.0;49.0;2401.0;0.75;392.0;-63.0;3969.0;-0.9700000286102295
1987.0;350.0;70.0;4900.0;1.0800000429153442;333.0;17.0;289.0;0.25999999046325684
1988.0;401.0;121.0;14641.0;1.8600000143051147;292.0;109.0;11881.0;1.6799999475479126
1989.0;161.0;-119.0;14161.0;-1.8300000429153442;199.0;-38.0;1444.0;-0.5799999833106995
1991.0;243.0;-37.0;1369.0;-0.5699999928474426;215.0;28.0;784.0;0.4300000071525574
1992.0;182.0;-98.0;9604.0;-1.5099999904632568;158.0;24.0;576.0;0.3700000047683716
1993.0;237.0;-43.0;1849.0;-0.6600000262260437;261.0;-24.0;576.0;-0.3700000047683716
1994.0;378.0;98.0;9604.0;1.5099999904632568;306.0;72.0;5184.0;1.1100000143051147
1995.0;234.0;-46.0;2116.0;-0.7099999785423279;194.0;40.0;1600.0;0.6200000047683716
1996.0;377.0;97.0;9409.0;1.4900000095367432;436.0;-59.0;3481.0;-0.9100000262260437
1999.0;305.0;25.0;625.0;0.3799999952316284;324.0;-19.0;361.0;-0.28999999165534973
2001.0;169.0;-111.0;12321.0;-1.7100000381469727;161.0;8.0;64.0;0.11999999731779099
2003.0;256.0;-24.0;576.0;-0.3700000047683716;273.0;-17.0;289.0;-0.25999999046325684
2004.0;272.0;-8.0;64.0;-0.11999999731779099;312.0;-40.0;1600.0;-0.6200000047683716
2005.0;232.0;-48.0;2304.0;-0.7400000095367432;328.0;-96.0;9216.0;-1.4800000190734863
2007.0;363.0;83.0;6889.0;1.2799999713897705;339.0;24.0;576.0;0.3700000047683716
2008.0;160.0;-120.0;14400.0;-1.850000023841858;122.0;38.0;1444.0;0.5799999833106995
2009.0;186.0;-94.0;8836.0;-1.4500000476837158;253.0;-67.0;4489.0;-1.0299999713897705
2010.0;327.0;47.0;2209.0;0.7200000286102295;373.0;-46.0;2116.0;-0.7099999785423279
2011.0;261.0;-19.0;361.0;-0.28999999165534973;235.0;26.0;676.0;0.4000000059604645
2012.0;205.0;-75.0;5625.0;-1.149999976158142;191.0;14.0;196.0;0.2199999988079071
2013.0;314.0;34.0;1156.0;0.5199999809265137;305.0;9.0;81.0;0.14000000059604645
2015.0;143.0;-137.0;18769.0;-2.109999895095825;176.0;-33.0;1089.0;-0.5099999904632568
2017.0;296.0;16.0;256.0;0.25;241.0;55.0;3025.0;0.8500000238418579
2018.0;249.0;-31.0;961.0;-0.47999998927116394;232.0;17.0;289.0;0.25999999046325684
2019.0;171.0;-109.0;11881.0;-1.6799999475479126;195.0;-24.0;576.0;-0.3700000047683716
2021.0;193.0;-87.0;7569.0;-1.340000033378601;229.0;-36.0;1296.0;-0.550000011920929
