Year;Hmax fact;Hf-Havg;(Hf-Havg)^2;Error climate;Hmax forecast;Hf-Hfor;(Hf-Hfor)^2;Error forecast
1978.0;340.0;60.1142857142857;3613.7273469387737;0.92;401.29572521678;-61.29572521678;3757.1659298509994;-0.94
1979.0;628.0;348.1142857142857;121183.55591836733;5.35;458.3141652753382;169.6858347246618;28793.282506205236;2.61
1980.0;342.0;62.1142857142857;3858.1844897959168;0.96;292.4974304687855;49.502569531214476;2450.504390192724;0.76
1981.0;282.0;2.1142857142856997;4.470204081632591;0.03;259.6438223141828;22.356177685817215;499.79868071983157;0.34
1982.0;399.0;119.1142857142857;14188.213061224486;1.83;342.70720349812314;56.292796501876865;3168.87893800172;0.87
1983.0;269.0;-10.8857142857143;118.4987755102044;-0.17;231.04056859925706;37.95943140074294;1440.9184322677092;0.58
1984.0;206.0;-73.8857142857143;5459.098775510206;-1.14;253.01140431172794;-47.011404311727944;2210.072135360753;-0.72
1985.0;336.0;56.1142857142857;3148.813061224488;0.86;307.6096666215052;28.3903333784948;806.0110293420761;0.44
1986.0;329.0;49.1142857142857;2412.2130612244882;0.76;422.8240319884881;-93.82403198848812;8802.948978576842;-1.44
1987.0;350.0;70.1142857142857;4916.0130612244875;1.08;297.2680487774916;52.73195122250843;2780.6586797330083;0.81
1988.0;401.0;121.1142857142857;14668.670204081629;1.86;231.3325951325802;169.6674048674198;28787.02827444495;2.61
1989.0;161.0;-118.8857142857143;14133.813061224493;-1.83;214.23182922758042;-53.23182922758042;2833.627642914285;-0.82
1991.0;243.0;-36.8857142857143;1360.555918367348;-0.57;262.98522496677157;-19.98522496677157;399.4092169724696;-0.31
1992.0;182.0;-97.8857142857143;9581.613061224492;-1.51;201.12046515649936;-19.120465156499364;365.59218780090623;-0.29
1993.0;237.0;-42.8857142857143;1839.1844897959197;-0.66;267.68196305313484;-30.681963053134837;941.3828567939312;-0.47
1994.0;378.0;98.1142857142857;9626.413061224486;1.51;289.1505583684798;88.84944163152022;7894.223278232918;1.37
1995.0;234.0;-45.8857142857143;2105.4987755102056;-0.71;215.21917211235944;18.780827887640555;352.7194961451772;0.29
1996.0;377.0;97.1142857142857;9431.184489795916;1.49;409.0290199764893;-32.02901997648928;1025.8581206543495;-0.49
1999.0;305.0;25.1142857142857;630.7273469387748;0.39;289.79412511705425;15.20587488294575;231.21863095580042;0.23
2001.0;169.0;-110.8857142857143;12295.641632653065;-1.71;194.7260012718483;-25.726001271848304;661.8271414391405;-0.4
2003.0;256.0;-23.8857142857143;570.5273469387762;-0.37;303.4234541544136;-47.423454154413605;2248.984003935769;-0.73
2004.0;272.0;-7.8857142857143;62.1844897959186;-0.12;302.8246122321303;-30.824612232130278;950.1567192611956;-0.47
2005.0;232.0;-47.8857142857143;2293.0416326530626;-0.74;322.2532085702004;-90.2532085702004;8145.641657216095;-1.39
2007.0;363.0;83.1142857142857;6907.984489795916;1.28;352.13326026983236;10.866739730167637;118.08603236320381;0.17
2008.0;160.0;-119.8857142857143;14372.584489795921;-1.84;194.39034728447274;-34.39034728447274;1182.6959863466416;-0.53
2009.0;186.0;-93.8857142857143;8814.527346938778;-1.44;235.80923384135212;-49.809233841352125;2480.9597758624977;-0.77
2010.0;327.0;47.1142857142857;2219.7559183673457;0.72;325.0273502528754;1.972649747124592;3.891347024830717;0.03
2011.0;261.0;-18.8857142857143;356.6702040816332;-0.29;280.65476980627375;-19.654769806273748;386.3099761376102;-0.3
2012.0;205.0;-74.8857142857143;5607.870204081635;-1.15;208.56171282363906;-3.5617128236390556;12.685798238074895;-0.05
2013.0;314.0;34.1142857142857;1163.7844897959174;0.52;317.6626687168574;-3.662668716857411;13.415142129445911;-0.06
2015.0;143.0;-136.8857142857143;18737.69877551021;-2.11;202.3228043624759;-59.32280436247589;3519.1951174285887;-0.91
2017.0;296.0;16.1142857142857;259.67020408163216;0.25;237.18402095227793;58.81597904772207;3459.319391342081;0.9
2018.0;249.0;-30.8857142857143;953.9273469387764;-0.48;246.82930548718116;2.170694512818841;4.711914667981825;0.03
2019.0;171.0;-108.8857142857143;11856.098775510207;-1.67;191.82659193913202;-20.826591939132015;433.7469317991186;-0.32
2021.0;193.0;-86.8857142857143;7549.127346938778;-1.34;232.72531046371506;-39.72531046371506;1578.1002914385494;-0.61
