Predictors;Equations;Method;Criterion;Correlation;Pm
s_2802, s_max, h, x, x1, x2, x3, x4, xs;0.98*s_2802 + 0.31*s_max + 0.53*h + 1.61*x + 1.44*x1 - 0.24*x2 - 3.43*x3 + 12.16*x4 - 1.2*xs;LinearRegression;0.51;0.86;75.68
s_2802, s_max, h, x, x1, x2, x3, x4, xs;1.05*s_2802 + 0.22*s_max + 0.51*h + 1.57*x + 1.4*x1 - 0.17*x2 - 0.38*x3 + 1.98*x4 - 1.15*xs;Ridge;0.51;0.86;75.68
s_2802, s_max, h, x, x1, x2, x3, x4, xs;1.07*s_2802 + 0.19*s_max + 0.51*h + 1.49*x + 1.32*x1 - 0.1*x2 + 0.12*x3 + 0.3*x4 - 1.06*xs;ElasticNet;0.51;0.86;75.68
s_2802, s_max, h, x, x1, x2, x3, xs;1.07*s_2802 + 0.2*s_max + 0.51*h + 1.53*x + 1.36*x1 - 0.13*x2 + 0.21*x3 - 1.1*xs;LassoLars;0.51;0.86;75.68
s_2802, s_max, h, x, x1, x2, x3, xs;1.07*s_2802 + 0.2*s_max + 0.51*h + 1.55*x + 1.39*x1 - 0.15*x2 + 0.21*x3 - 1.12*xs;Lars8;0.51;0.86;75.68
s_2802, h, x, x1, x2, x3, xs;1.22*s_2802 + 0.45*h + 0.93*x + 0.72*x1 + 0.32*x2 + 0.2*x3 - 0.51*xs;Lars7;0.52;0.85;78.38
s_2802, h, x, x1, x2, x3;1.21*s_2802 + 0.41*h + 0.4*x + 0.16*x1 + 0.7*x2 + 0.2*x3;Lars6;0.54;0.84;81.08
s_2802, h, x, x1, x2, x3;1.18*s_2802 + 0.37*h + 0.34*x + 0.07*x1 + 0.66*x2 + 0.18*x3;Lasso;0.55;0.84;81.08
s_2802, h, x, x2, x3;1.15*s_2802 + 0.35*h + 0.3*x + 0.64*x2 + 0.17*x3;Lars5;0.55;0.83;81.08
s_2802, h, x, x2, x3;1.11*s_2802 + 0.29*h + 0.26*x + 0.48*x2 + 0.15*x3;LarsCV;0.57;0.82;78.38
s_2802, s_max, h, x, x1, x2, x3;0.69*s_2802 + 0.36*s_max + 0.33*h + 0.34*x + 0.09*x1 + 0.39*x2 + 0.19*x3;ElasticNetCV;0.58;0.81;78.38
s_2802, h, x, x3;0.98*s_2802 + 0.09*h + 0.16*x + 0.06*x3;Lars4;0.68;0.73;67.57
s_2802, x, x3;0.93*s_2802 + 0.11*x + 0.02*x3;Lars3;0.72;0.69;64.86
s_2802, x;0.91*s_2802 + 0.1*x;Lars2;0.73;0.69;62.16
s_2802;0.68*s_2802;Lars1;0.79;0.61;54.05
