Year;Hmax fact;Hf-Havg;(Hf-Havg)^2;Error climate;Hmax forecast;Hf-Hfor;(Hf-Hfor)^2;Error forecast
1977.0;281.0;-8.594594594594582;73.86705624543441;-0.18;230.9380012611811;50.061998738818886;2506.203717725504;1.02
1978.0;311.0;21.405405405405418;458.1913805697595;0.44;354.7356202807226;-43.73562028072263;1912.8044813395566;-0.89
1979.0;494.0;204.40540540540542;41781.56975894814;4.16;436.4183662486799;57.58163375132011;3315.6445454711675;1.17
1980.0;357.0;67.40540540540542;4543.488677867058;1.37;294.82326770750876;62.17673229249124;3865.9460385721227;1.27
1981.0;293.0;3.4054054054054177;11.596785975164437;0.07;289.3850910249672;3.6149089750327903;13.067566897772618;0.07
1982.0;269.0;-20.594594594594582;424.1373265157044;-0.42;359.77416888149696;-90.77416888149696;8239.949736126531;-1.85
1983.0;292.0;2.4054054054054177;5.7859751643536015;0.05;235.9560324832657;56.04396751673431;3140.926295016771;1.14
1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.83;275.4670967644732;-26.467096764473183;700.5072111399868;-0.54
1985.0;362.0;72.40540540540542;5242.542731921112;1.48;309.72986904022355;52.27013095977645;2732.166590552181;1.07
1986.0;354.0;64.40540540540542;4148.056245434625;1.31;380.2383670520676;-26.238367052067588;688.4519055590259;-0.53
1987.0;361.0;71.40540540540542;5098.731921110301;1.45;308.6846118067491;52.3153881932509;2736.8998418105352;1.07
1988.0;394.0;104.40540540540542;10900.488677867059;2.13;255.8067646538807;138.1932353461193;19097.370295427918;2.82
1989.0;187.0;-102.59459459459458;10525.650840029215;-2.09;237.0554361012144;-50.05543610121441;2505.546683282759;-1.02
1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.91;266.28577454290746;-21.28577454290746;453.08419789148735;-0.43
1992.0;223.0;-66.59459459459458;4434.840029218406;-1.36;249.6616348965445;-26.661634896544513;710.8427753566401;-0.54
1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.77;249.8592158673618;2.1407841326382027;4.582956702555502;0.04
1994.0;392.0;102.40540540540542;10486.867056245437;2.09;336.1280978431538;55.871902156846204;3121.6694506241956;1.14
1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.19;244.5855870149839;-13.5855870149839;184.56817454169916;-0.28
1996.0;345.0;55.40540540540542;3069.758948137328;1.13;397.62925949427165;-52.62925949427165;2769.8389549153826;-1.07
1999.0;370.0;80.40540540540542;6465.029218407599;1.64;336.22910376081114;33.77089623918886;1140.4734327980602;0.69
2001.0;198.0;-91.59459459459458;8389.569758948135;-1.87;243.53205685582634;-45.53205685582634;2073.1682015222023;-0.93
2003.0;264.0;-25.594594594594582;655.0832724616503;-0.52;285.7882084868455;-21.78820848684552;474.7260290662471;-0.44
2004.0;341.0;51.40540540540542;2642.5157048940846;1.05;326.62399458228265;14.376005417717352;206.66953177023865;0.29
2005.0;254.0;-35.59459459459458;1266.975164353542;-0.73;297.78678725431814;-43.78678725431814;1917.2827380549177;-0.89
2006.0;346.0;56.40540540540542;3181.5697589481388;1.15;304.66275527155403;41.33724472844597;1708.767801739434;0.84
2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07;337.9856093613366;-51.98560936133663;2702.5035806694905;-1.06
2008.0;199.0;-90.59459459459458;8207.380569758945;-1.85;211.25001138365388;-12.250011383653884;150.06277889964974;-0.25
2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.54;245.0795638941845;-31.079563894184503;965.939291852697;-0.63
2010.0;379.0;89.40540540540542;7993.326515704896;1.82;351.24685810159843;27.753141898401566;770.2368852328125;0.57
2011.0;224.0;-65.59459459459458;4302.650840029217;-1.34;274.991132604844;-50.99113260484398;2600.095604324783;-1.04
2012.0;254.0;-35.59459459459458;1266.975164353542;-0.73;238.56040813549495;15.439591864505047;238.38099694249044;0.31
2013.0;363.0;73.40540540540542;5388.353542731923;1.5;342.57483815938065;20.425161840619353;417.18723621549293;0.42
2015.0;181.0;-108.59459459459458;11792.78597516435;-2.21;193.74969765101707;-12.749697651017073;162.55479019235025;-0.26
2017.0;275.0;-14.594594594594582;213.0021913805694;-0.3;240.3513588010373;34.64864119896271;1200.5283369344559;0.71
2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.77;266.5256132278009;-14.525613227800875;210.99343964366375;-0.3
2019.0;205.0;-84.59459459459458;7156.245434623811;-1.72;243.86246149231036;-38.86246149231036;1510.2909132413056;-0.79
2021.0;218.0;-71.59459459459458;5125.785975164352;-1.46;243.70554806372607;-25.70554806372607;660.7752012565311;-0.52
