Dataset_name;Group;Method;Criterion;Correlation;Pm;R2;Shuffle;Augmentation;Data size;Normalization;Equation
Вилия-Стешица;0;OMP4;0.618790336242733;0.7855561849878119;70.0;0.6170985197726053;True;Spline 2;1200;standard;
Вилия-Стешица;0;OMP3;0.669698457548238;0.7426331368566251;73.33333333333333;0.5515039759575109;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars8;0.6918040751799968;0.722085259207214;56.666666666666664;0.5214071215643497;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars7;0.6940989355138836;0.7198796202966811;56.666666666666664;0.5182266677184938;True;Spline 2;1200;standard;
Вилия-Стешица;0;OMP2;0.7078577559194966;0.7063550080410093;60.0;0.4989373973846143;True;Spline 2;1200;standard;
Вилия-Стешица;0;OMP1;0.7088264083837968;0.7053829617858138;60.0;0.497565122777727;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars6;0.7435399205640056;0.6686915481204112;56.666666666666664;0.4471483865276723;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars5;0.7613339204200736;0.6483599784207852;56.666666666666664;0.420370661617801;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars4;0.7650007435551388;0.644029395571417;56.666666666666664;0.41477386236008484;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars3;0.7685487680984472;0.6397912089536393;56.666666666666664;0.40933279105435927;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars2;0.7952420099926946;0.6062921288807723;56.666666666666664;0.36759014554277925;True;Spline 2;1200;standard;
Вилия-Стешица;0;Lars1;0.9065705411038754;0.4220543258901946;36.666666666666664;0.17812985400262682;True;Spline 2;1200;standard;
Вилия-Стешица;0;BayesianRidge;1.818839227117562;0;16.666666666666664;-2.3081761341016094;True;Spline 2;1200;standard;
Вилия-Стешица;0;BayesianRidgeCV;1.818839270049258;0;16.666666666666664;-2.3081762902733174;True;Spline 2;1200;standard;
Вилия-Стешица;0;LassoLarsCV;2.281379459982451;0;10.0;-4.204692240429819;True;Spline 2;1200;standard;
Вилия-Стешица;0;LinearRegression;2.281379460048679;0;10.0;-4.204692240732003;True;Spline 2;1200;standard;
Вилия-Стешица;0;BaggingRegressor;0.5012230499457769;0.8653181231218107;83.33333333333334;0.7487754542030534;False;Spline 2;1200;standard;
Вилия-Стешица;0;StackingRegressorRidge;0.5269153115525361;0.849917792760861;80.0;0.7223602544514938;False;Spline 2;1200;standard;
Вилия-Стешица;0;ExtraTreesRegressor;0.5530720655727069;0.8331334168565917;80.0;0.6941112902831394;False;Spline 2;1200;standard;
Вилия-Стешица;0;HistGradientBoostingRegressor;0.5594795384532535;0.8288441627061955;76.66666666666667;0.6869826460521345;False;Spline 2;1200;standard;
Вилия-Стешица;0;VotingRegressor;0.5630176761215973;0.8264448538012904;80.0;0.6830110963746363;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP7;0.5926588356193362;0.8054536017439693;73.33333333333333;0.6487555045623327;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP8;0.6006223196221181;0.7995328818577421;73.33333333333333;0.6392528291717463;False;Spline 2;1200;standard;
Вилия-Стешица;0;LassoLarsCV;0.6130082899316215;0.7900764750801716;70.0;0.6242208364751092;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP6;0.6159488334173328;0.7877861604596941;73.33333333333333;0.6206070346118269;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars8;0.6194050234948626;0.7850715998361734;70.0;0.6163374168693287;False;Spline 2;1200;standard;
Вилия-Стешица;0;RandomForestRegressor;0.6270502528674461;0.7789788061166183;76.66666666666667;0.606807980378872;False;Spline 2;1200;standard;
Вилия-Стешица;0;LarsCV;0.627264585726993;0.7788062271789716;70.0;0.606539139492744;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMPCV;0.6304126698442984;0.7762601791279671;73.33333333333333;0.6025798656997837;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP5;0.6304126698442984;0.7762601791279671;73.33333333333333;0.6025798656997837;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars7;0.6350747650068638;0.7724506734099444;70.0;0.5966800428514768;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP4;0.6429142519754529;0.7659381597797853;66.66666666666666;0.5866612646068439;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars6;0.6883214801098904;0.7254057761138449;66.66666666666666;0.5262135400193297;False;Spline 2;1200;standard;
Вилия-Стешица;0;KNeighborsRegressor;0.7015958449614864;0.7125750980302202;83.33333333333334;0.507763270332778;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars5;0.7065683187510249;0.7076448338943414;66.66666666666666;0.50076121093735;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP3;0.7134961123114989;0.7006591879911209;60.0;0.490923297716377;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP2;0.7317443374979793;0.6815792136939355;60.0;0.46455022453964334;False;Spline 2;1200;standard;
Вилия-Стешица;0;OMP1;0.7356190701813464;0.6773954410722967;63.33333333333333;0.4588645835855314;False;Spline 2;1200;standard;
Вилия-Стешица;0;AdaBoostRegressor;0.7376284827379387;0.6752067990280655;80.0;0.45590422145372655;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars4;0.7440428973428578;0.6681318484503231;60.0;0.4464001669136457;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars3;0.7453355240542249;0.6666895503776956;60.0;0.444474956582814;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars2;0.7535390459656334;0.6574031534798134;60.0;0.43217890620520316;False;Spline 2;1200;standard;
Вилия-Стешица;0;Lars1;0.8944271560843475;0.44721366533108786;43.333333333333336;0.20000006245886615;False;Spline 2;1200;standard;
Вилия-Стешица;0;BayesianRidge;1.0157238110918387;0;46.666666666666664;-0.03169486041892888;False;Spline 2;1200;standard;
Вилия-Стешица;0;BayesianRidgeCV;1.015724238729011;0;46.666666666666664;-0.0316957291416291;False;Spline 2;1200;standard;
Вилия-Стешица;0;LinearRegression;1.2708235952651437;0;36.666666666666664;-0.6149926102826255;False;Spline 2;1200;standard;
Вилия-Стешица;0;StackingRegressorRidge;0.45281695603900823;0.8916035017447873;86.66666666666667;0.7949568043235669;False;Spline 2;1200;normal;
Вилия-Стешица;0;BaggingRegressor;0.5014115983860503;0.8652088817181353;83.33333333333334;0.7485864090039462;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP8;0.5226283393962102;0.852560624741701;86.66666666666667;0.7268596188599596;False;Spline 2;1200;normal;
Вилия-Стешица;0;LinearRegression;0.5278127826423369;0.8493607398975733;80.0;0.7214136664793533;False;Spline 2;1200;normal;
Вилия-Стешица;0;BayesianRidge;0.528667899255804;0.8488287532220236;80.0;0.720510252296455;False;Spline 2;1200;normal;
Вилия-Стешица;0;BayesianRidgeCV;0.5286678992577879;0.848828753220788;80.0;0.7205102522943574;False;Spline 2;1200;normal;
Вилия-Стешица;0;ExtraTreesRegressor;0.5339032603185122;0.845545568624934;83.33333333333334;0.7149473086212631;False;Spline 2;1200;normal;
Вилия-Стешица;0;HistGradientBoostingRegressor;0.5594795384532535;0.8288441627061955;76.66666666666667;0.6869826460521345;False;Spline 2;1200;normal;
Вилия-Стешица;0;LarsCV;0.5635721431047133;0.8260668493023797;73.33333333333333;0.6823864395163606;False;Spline 2;1200;normal;
Вилия-Стешица;0;LassoLarsCV;0.563579092878926;0.8260621078767424;73.33333333333333;0.682378606069767;False;Spline 2;1200;normal;
Вилия-Стешица;0;VotingRegressor;0.5736981513940685;0.8190668050208288;80.0;0.6708704310870285;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP7;0.5873668940818202;0.8093207841991183;73.33333333333333;0.6550001317366759;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMPCV;0.5985660787180306;0.801073435714929;66.66666666666666;0.6417186494081205;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP5;0.5985660787180306;0.801073435714929;66.66666666666666;0.6417186494081205;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP6;0.6148566044035284;0.7886389262656028;70.0;0.6219513560213631;False;Spline 2;1200;normal;
Вилия-Стешица;0;RandomForestRegressor;0.6360896599539895;0.7716151531039408;76.66666666666667;0.595389944499618;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP4;0.6532765510399351;0.7571193749081891;66.66666666666666;0.5732297478613672;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars8;0.66832772154227;0.7438669616390541;63.33333333333333;0.5533380566181181;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars7;0.6691781076792777;0.7431020523473079;63.33333333333333;0.5522006602027811;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars6;0.6996199872003995;0.7145151317569929;66.66666666666666;0.5105318735097129;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP3;0.7252612554356523;0.6884737550291234;53.333333333333336;0.4739961113639015;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP2;0.7371724417201638;0.6757046626806209;60.0;0.45657679116833183;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars5;0.742273724219447;0.6700967977340232;63.33333333333333;0.44902971833339245;False;Spline 2;1200;normal;
Вилия-Стешица;0;OMP1;0.7525648141765998;0.6585181853702597;56.666666666666664;0.4336462004633398;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars4;0.7627367158686085;0.6467091326600929;63.33333333333333;0.41823270226596954;False;Spline 2;1200;normal;
Вилия-Стешица;0;KNeighborsRegressor;0.7671246799988773;0.6414980322157038;83.33333333333334;0.4115197253366202;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars3;0.7736282950510894;0.6336396934349556;60.0;0.4014992610963446;False;Spline 2;1200;normal;
Вилия-Стешица;0;AdaBoostRegressor;0.7753197329616445;0.6315689286849728;86.66666666666667;0.39887931168028423;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars2;0.8986837146120978;0.43859728805705295;40.0;0.1923675810910015;False;Spline 2;1200;normal;
Вилия-Стешица;0;Lars1;0.9670038812430152;0.2547616408742584;36.666666666666664;0.06490349366094472;False;Spline 2;1200;normal;
