Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Гродно по данным, рассчитанным
на дату 28 февраля
Предикторы;; S_2802, H, X2, X3, Xs
Уравнение;; 151.98 + 2.23*S_2802 + 0.0*H + 0.68*X2 + 0.26*X3 + 0.0*Xs

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1978.0;340.0;60.1142857142857;3613.7273469387737;0.92;387.54001387813355;-47.54001387813355;2260.0529195331305;-0.73
2.0;1979.0;628.0;348.1142857142857;121183.55591836733;5.35;469.8137766165304;158.1862233834696;25022.88126832495;2.43
3.0;1980.0;342.0;62.1142857142857;3858.1844897959168;0.96;303.41744753667695;38.582552463323054;1488.613354585076;0.59
4.0;1981.0;282.0;2.1142857142856997;4.470204081632591;0.03;245.56882767620948;36.43117232379052;1327.2303168857204;0.56
5.0;1982.0;399.0;119.1142857142857;14188.213061224486;1.83;328.558275016601;70.44172498339901;4962.036618636821;1.08
6.0;1983.0;269.0;-10.8857142857143;118.4987755102044;-0.17;234.14943251133906;34.85056748866094;1214.5620542817112;0.54
7.0;1984.0;206.0;-73.8857142857143;5459.098775510206;-1.14;260.6744292853633;-54.67442928536332;2989.2932176801937;-0.84
8.0;1985.0;336.0;56.1142857142857;3148.813061224488;0.86;314.7366262475126;21.263373752487382;452.13106333796935;0.33
9.0;1986.0;329.0;49.1142857142857;2412.2130612244882;0.76;415.9998474936293;-86.99984749362932;7568.973463914759;-1.34
10.0;1987.0;350.0;70.1142857142857;4916.0130612244875;1.08;315.47426181729395;34.52573818270605;1192.0265970607666;0.53
11.0;1988.0;401.0;121.1142857142857;14668.670204081629;1.86;228.25481181776235;172.74518818223765;29840.9000401167;2.66
12.0;1989.0;161.0;-118.8857142857143;14133.813061224493;-1.83;202.09662142696075;-41.09662142696075;1688.9322927109297;-0.63
13.0;1991.0;243.0;-36.8857142857143;1360.555918367348;-0.57;256.2516096546341;-13.25160965463408;175.60515843879116;-0.2
14.0;1992.0;182.0;-97.8857142857143;9581.613061224492;-1.51;196.04959230550006;-14.049592305500056;197.39104395076637;-0.22
15.0;1993.0;237.0;-42.8857142857143;1839.1844897959197;-0.66;271.00821325883885;-34.00821325883885;1156.5585690586627;-0.52
16.0;1994.0;378.0;98.1142857142857;9626.413061224486;1.51;283.6247660776879;94.37523392231208;8906.684777891123;1.45
17.0;1995.0;234.0;-45.8857142857143;2105.4987755102056;-0.71;208.21781699426958;25.782183005730417;664.7209605409743;0.4
18.0;1996.0;377.0;97.1142857142857;9431.184489795916;1.49;433.49866674649974;-56.49866674649974;3192.099344132035;-0.87
19.0;1999.0;305.0;25.1142857142857;630.7273469387748;0.39;287.7484272193707;17.251572780629317;297.61676340535035;0.27
20.0;2001.0;169.0;-110.8857142857143;12295.641632653065;-1.71;201.49329868896055;-32.49329868896055;1055.8144596900054;-0.5
21.0;2003.0;256.0;-23.8857142857143;570.5273469387762;-0.37;306.54942100214436;-50.549421002144356;2555.243963652033;-0.78
22.0;2004.0;272.0;-7.8857142857143;62.1844897959186;-0.12;301.06358839014115;-29.06358839014115;844.6921701115474;-0.45
23.0;2005.0;232.0;-47.8857142857143;2293.0416326530626;-0.74;326.5666130166072;-94.56661301660722;8942.844297432746;-1.45
24.0;2007.0;363.0;83.1142857142857;6907.984489795916;1.28;342.7271021178653;20.272897882134714;410.9903885394622;0.31
25.0;2008.0;160.0;-119.8857142857143;14372.584489795921;-1.84;194.1633878093174;-34.16338780931741;1167.1370666098176;-0.53
26.0;2009.0;186.0;-93.8857142857143;8814.527346938778;-1.44;229.79720298702736;-43.79720298702736;1918.1949894868785;-0.67
27.0;2010.0;327.0;47.1142857142857;2219.7559183673457;0.72;314.19761434526305;12.802385654736952;163.90107845261448;0.2
28.0;2011.0;261.0;-18.8857142857143;356.6702040816332;-0.29;270.0209365162692;-9.020936516269217;81.37729563055939;-0.14
29.0;2012.0;205.0;-74.8857142857143;5607.870204081635;-1.15;221.47208242649367;-16.47208242649367;271.32949946520165;-0.25
30.0;2013.0;314.0;34.1142857142857;1163.7844897959174;0.52;330.88416237073375;-16.884162370733748;285.0749389613014;-0.26
31.0;2015.0;143.0;-136.8857142857143;18737.69877551021;-2.11;203.17192327409566;-60.17192327409566;3620.660350503655;-0.93
32.0;2017.0;296.0;16.1142857142857;259.67020408163216;0.25;229.17585717362732;66.82414282637268;4465.466064479455;1.03
33.0;2018.0;249.0;-30.8857142857143;953.9273469387764;-0.48;250.29250856512726;-1.2925085651272639;1.6705783909273384;-0.02
34.0;2019.0;171.0;-108.8857142857143;11856.098775510207;-1.67;194.6266473570396;-23.626647357039587;558.2184653339057;-0.36
35.0;2021.0;193.0;-86.8857142857143;7549.127346938778;-1.34;236.42995764995555;-43.429957649955554;1886.161221476933;-0.67
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

σ = ;;96.45199093135325;;σ -;среднеквадратическое отклонение (см)
δдоп =;;65.0086418877321;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;51.42857143;;Pк -;климатическая обеспеченность в %
Pм =;;80.0;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;60.104586947572784;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.6231554825068399;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.3883227553783325;;ρ -;корреляционное отношение
ρ =;;0.78209797635697;;;(оценка эффективности метода прогнозирования)
Модель:;;ARDRegression;;δ50% -;погрешность (ошибка) прогнозов (см)
