Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Столбцы
Предикторы:;; Smax, X, X3
Уравнение:;; 132.36 + 0.43*Smax + 0.19*X + 0.13*X3
Модель:;; Lars3

№;Год;"Hmax
фактический";Hф-Hср;(Hф-Hср)^2;"δ50%
Погрешность климатических прогнозов в долях от допустимой погрешности";"Hmax
прогнозный";Hф-Hп;(Hф-Hп)^2;"δ50%
Погрешность проверочных прогнозов в долях от допустимой погрешности"
1.0;1977.0;202.0;-1.081081081081095;1.1687363038714689;-0.04;175.0172977553199;26.982702244680098;728.0662204250644;1.08
2.0;1978.0;215.0;11.918918918918905;142.060628195763;0.48;227.44803142665185;-12.448031426651852;154.95348639891213;-0.5
3.0;1979.0;272.0;68.9189189189189;4749.817384952518;2.75;263.3331178618844;8.666882138115625;75.11484599598766;0.35
4.0;1980.0;226.0;22.918918918918905;525.2768444119789;0.91;211.39916548403207;14.600834515967932;213.18436856268053;0.58
5.0;1981.0;219.0;15.918918918918905;253.41197954711424;0.64;210.95045467176442;8.049545328235581;64.79517999131927;0.32
6.0;1982.0;219.0;15.918918918918905;253.41197954711424;0.64;232.24563633011192;-13.245636330111921;175.4468817895808;-0.53
7.0;1983.0;212.0;8.918918918918905;79.54711468224957;0.36;165.58818323975328;46.41181676024672;2154.0567349867188;1.85
8.0;1984.0;177.0;-26.081081081081095;680.2227903579262;-1.04;199.13674800057956;-22.13674800057956;490.03561204116306;-0.88
9.0;1985.0;227.0;23.918918918918905;572.1146822498167;0.95;208.74049731717471;18.259502682825286;333.4094382241038;0.73
10.0;1986.0;218.0;14.918918918918905;222.57414170927643;0.6;224.81905899814836;-6.819058998148364;46.49956562022817;-0.27
11.0;1987.0;230.0;26.918918918918905;724.6281957633302;1.07;199.0807415058665;30.919258494133487;956.0005458270458;1.23
12.0;1988.0;216.0;12.918918918918905;166.8984660336008;0.52;201.64982866879996;14.350171331200045;205.92741723479566;0.57
13.0;1989.0;110.0;-93.0810810810811;8664.087655222793;-3.71;176.69859623042703;-66.69859623042703;4448.702739109534;-2.66
14.0;1991.0;166.0;-37.081081081081095;1375.0065741417102;-1.48;192.15475107803843;-26.15475107803843;684.0710039541524;-1.04
15.0;1992.0;148.0;-55.081081081081095;3033.92549306063;-2.2;167.70674185763588;-19.706741857635876;388.3556746434979;-0.79
16.0;1993.0;185.0;-18.081081081081095;326.9254930606287;-0.72;184.75044445090884;0.24955554909115563;0.06227797208218819;0.01
17.0;1994.0;247.0;43.918918918918905;1928.871439006573;1.75;208.71670260978811;38.283297390211885;1465.6108590674041;1.53
