Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Столбцы
Предикторы:;; S_2802, H, X2, X3, Xs
Уравнение:;; 103.34 + 0.49*S_2802 + 0.2*H + 0.62*X2 + 0.18*X3 + 0.12*Xs
Модель:;; ElasticNet_GridSearchCV

№;Год;"Hmax
фактический";Hф-Hср;(Hф-Hср)^2;"δ50%
Погрешность климатических прогнозов в долях от допустимой погрешности";"Hmax
прогнозный";Hф-Hп;(Hф-Hп)^2;"δ50%
Погрешность проверочных прогнозов в долях от допустимой погрешности"
1.0;1977.0;202.0;-1.081081081081095;1.1687363038714689;-0.04;211.2330588400477;-9.233058840047704;85.24937554378306;-0.37
2.0;1978.0;215.0;11.918918918918905;142.060628195763;0.48;223.67127854194382;-8.67127854194382;75.19107155197536;-0.35
3.0;1979.0;272.0;68.9189189189189;4749.817384952518;2.75;269.7499361243357;2.2500638756642957;5.062787444569431;0.09
4.0;1980.0;226.0;22.918918918918905;525.2768444119789;0.91;205.6071145941813;20.392885405818703;415.86977517485343;0.81
5.0;1981.0;219.0;15.918918918918905;253.41197954711424;0.64;220.10171530481705;-1.1017153048170485;1.213776612868122;-0.04
6.0;1982.0;219.0;15.918918918918905;253.41197954711424;0.64;240.85698246679308;-21.856982466793085;477.72768255370033;-0.87
7.0;1983.0;212.0;8.918918918918905;79.54711468224957;0.36;209.9249694049309;2.0750305950691086;4.305751970472859;0.08
8.0;1984.0;177.0;-26.081081081081095;680.2227903579262;-1.04;189.84320579904983;-12.843205799049827;164.9479351967471;-0.51
9.0;1985.0;227.0;23.918918918918905;572.1146822498167;0.95;208.1488824454833;18.85111755451669;355.36463305420733;0.75
10.0;1986.0;218.0;14.918918918918905;222.57414170927643;0.6;224.6700574529413;-6.6700574529413075;44.489666425537884;-0.27
11.0;1987.0;230.0;26.918918918918905;724.6281957633302;1.07;213.32806301143683;16.671936988563175;277.9534829506209;0.67
12.0;1988.0;216.0;12.918918918918905;166.8984660336008;0.52;208.45094411600655;7.5490558839934465;56.988244739656075;0.3
13.0;1989.0;110.0;-93.0810810810811;8664.087655222793;-3.71;161.13087704217372;-51.13087704217372;2614.366587101888;-2.04
14.0;1991.0;166.0;-37.081081081081095;1375.0065741417102;-1.48;195.4297158905276;-29.429715890527604;866.1081773971729;-1.17
15.0;1992.0;148.0;-55.081081081081095;3033.92549306063;-2.2;164.73344239818908;-16.733442398189084;280.00809449351203;-0.67
16.0;1993.0;185.0;-18.081081081081095;326.9254930606287;-0.72;183.8365334553688;1.1634665446312056;1.353654400476077;0.05
17.0;1994.0;247.0;43.918918918918905;1928.871439006573;1.75;200.69114309557477;46.30885690442523;2144.510227794532;1.85
18.0;1995.0;160.0;-43.081081081081095;1855.9795471146833;-1.72;163.67825326381092;-3.678253263810916;13.529547072735657;-0.15
19.0;1996.0;231.0;27.918918918918905;779.466033601168;1.11;244.89341623407685;-13.893416234076852;193.02701465331023;-0.55
20.0;1999.0;240.0;36.918918918918905;1363.0065741417081;1.47;244.32701985852694;-4.327019858526938;18.723100856086486;-0.17
21.0;2001.0;166.0;-37.081081081081095;1375.0065741417102;-1.48;181.10896336182432;-15.108963361824323;228.28077386894975;-0.6
22.0;2003.0;214.0;10.918918918918905;119.22279035792519;0.44;191.39648138492083;22.603518615079167;510.91905378223043;0.9
23.0;2004.0;233.0;29.918918918918905;895.1417092768436;1.19;226.7754890276853;6.224510972314704;38.74453684446614;0.25
24.0;2005.0;201.0;-2.081081081081095;4.330898466033659;-0.08;216.0808323575188;-15.080832357518801;227.4315045955861;-0.6
25.0;2006.0;230.0;26.918918918918905;724.6281957633302;1.07;191.0072139286243;38.99278607137569;1520.43736560807;1.56
26.0;2007.0;192.0;-11.081081081081095;122.79035792549337;-0.44;189.47113261494263;2.5288673850573673;6.395170251206887;0.1
27.0;2008.0;140.0;-63.081081081081095;3979.2227903579274;-2.52;166.06320153686622;-26.063201536866217;679.2904743513055;-1.04
