Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Гродно по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X3
Уравнение;; 68.63 + 2.02*Smax + 0.4*H + 0.43*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1978.0;340.0;60.1142857142857;3613.7273469387737;0.92;400.28496768760397;-60.28496768760397;3634.277329095454;-0.93
2.0;1979.0;628.0;348.1142857142857;121183.55591836733;5.35;440.71649594771293;187.28350405228707;35075.11089010303;2.88
3.0;1980.0;342.0;62.1142857142857;3858.1844897959168;0.96;326.1484992480045;15.851500751995502;251.27007609051395;0.24
4.0;1981.0;282.0;2.1142857142856997;4.470204081632591;0.03;264.1602995831422;17.839700416857795;318.25491096323617;0.27
5.0;1982.0;399.0;119.1142857142857;14188.213061224486;1.83;363.7359010568827;35.26409894311729;1243.556674269966;0.54
6.0;1983.0;269.0;-10.8857142857143;118.4987755102044;-0.17;215.0816961113405;53.918303888659494;2907.1834942298337;0.83
7.0;1984.0;206.0;-73.8857142857143;5459.098775510206;-1.14;224.19767579309308;-18.197675793093083;331.155404270526;-0.28
8.0;1985.0;336.0;56.1142857142857;3148.813061224488;0.86;301.2777304640666;34.72226953593338;1205.6360017260072;0.53
9.0;1986.0;329.0;49.1142857142857;2412.2130612244882;0.76;400.7755054305936;-71.77550543059363;5151.723179817175;-1.1
10.0;1987.0;350.0;70.1142857142857;4916.0130612244875;1.08;276.9936377567885;73.00636224321153;5329.928927987022;1.12
11.0;1988.0;401.0;121.1142857142857;14668.670204081629;1.86;229.7825111797929;171.2174888202071;29315.428477897745;2.63
12.0;1989.0;161.0;-118.8857142857143;14133.813061224493;-1.83;260.19099530023436;-99.19099530023436;9838.853548651115;-1.53
13.0;1991.0;243.0;-36.8857142857143;1360.555918367348;-0.57;276.89683193493204;-33.89683193493204;1148.9952152250285;-0.52
14.0;1992.0;182.0;-97.8857142857143;9581.613061224492;-1.51;195.7625095482145;-13.762509548214496;189.40666906469517;-0.21
15.0;1993.0;237.0;-42.8857142857143;1839.1844897959197;-0.66;231.82928784187948;5.170712158120523;26.736264222135397;0.08
16.0;1994.0;378.0;98.1142857142857;9626.413061224486;1.51;258.55381191091897;119.44618808908103;14267.391849012123;1.84
17.0;1995.0;234.0;-45.8857142857143;2105.4987755102056;-0.71;194.23293911092358;39.76706088907642;1581.4191317555114;0.61
18.0;1996.0;377.0;97.1142857142857;9431.184489795916;1.49;394.8552030458329;-17.855203045832923;318.8082758079213;-0.27
19.0;1999.0;305.0;25.1142857142857;630.7273469387748;0.39;264.9579601051711;40.04203989482892;1603.3649589390707;0.62
20.0;2001.0;169.0;-110.8857142857143;12295.641632653065;-1.71;169.48711688439548;-0.4871168843954763;0.23728285906315583;-0.01
21.0;2003.0;256.0;-23.8857142857143;570.5273469387762;-0.37;311.4933319760011;-55.493331976001116;3079.5098937986677;-0.85
22.0;2004.0;272.0;-7.8857142857143;62.1844897959186;-0.12;295.82540453992976;-23.825404539929764;567.6499014913059;-0.37
23.0;2005.0;232.0;-47.8857142857143;2293.0416326530626;-0.74;295.94284640105104;-63.94284640105104;4088.687605868406;-0.98
24.0;2007.0;363.0;83.1142857142857;6907.984489795916;1.28;335.90113249836816;27.098867501631844;734.3486198709985;0.42
25.0;2008.0;160.0;-119.8857142857143;14372.584489795921;-1.84;177.79850260196514;-17.79850260196514;316.78669487215984;-0.27
26.0;2009.0;186.0;-93.8857142857143;8814.527346938778;-1.44;216.69822444879742;-30.69822444879742;942.3809843087436;-0.47
27.0;2010.0;327.0;47.1142857142857;2219.7559183673457;0.72;371.03372184482373;-44.03372184482373;1938.9686595073067;-0.68
28.0;2011.0;261.0;-18.8857142857143;356.6702040816332;-0.29;298.569143201581;-37.56914320158103;1411.440520900902;-0.58
29.0;2012.0;205.0;-74.8857142857143;5607.870204081635;-1.15;228.8287906763999;-23.828790676399905;567.811265099683;-0.37
30.0;2013.0;314.0;34.1142857142857;1163.7844897959174;0.52;357.69658832320135;-43.696588323201354;1909.3918310873369;-0.67
31.0;2015.0;143.0;-136.8857142857143;18737.69877551021;-2.11;176.33346304171403;-33.333463041714026;1111.1197583533149;-0.51
32.0;2017.0;296.0;16.1142857142857;259.67020408163216;0.25;287.3054548238514;8.694545176148608;75.59511582008903;0.13
33.0;2018.0;249.0;-30.8857142857143;953.9273469387764;-0.48;242.80002004239867;6.199979957601329;38.43975147465817;0.1
34.0;2019.0;171.0;-108.8857142857143;11856.098775510207;-1.67;206.51030766492772;-35.51030766492772;1260.9819504578245;-0.55
35.0;2021.0;193.0;-86.8857142857143;7549.127346938778;-1.34;303.3414919734663;-110.3414919734663;12175.244850930529;-1.7
Сумма;;9796.0
Средний;;279.8857142857143
Высший;;628.0
Низший;;143.0

