Year;Hmax fact;Hf-Havg;(Hf-Havg)^2;Error climate;Hmax forecast;Hf-Hfor;(Hf-Hfor)^2;Error forecast
1978.0;340.0;60.1142857142857;3613.7273469387737;0.92;403.4842491817979;-63.48424918179791;4030.249894176608;-0.98
1979.0;628.0;348.1142857142857;121183.55591836733;5.35;446.40104238813336;181.59895761186664;32978.18140571654;2.79
1980.0;342.0;62.1142857142857;3858.1844897959168;0.96;331.55059541162035;10.44940458837965;109.1900562516497;0.16
1981.0;282.0;2.1142857142856997;4.470204081632591;0.03;260.45873471851803;21.54126528148197;464.02610992718047;0.33
1982.0;399.0;119.1142857142857;14188.213061224486;1.83;363.0498161090829;35.95018389091712;1292.4157217907566;0.55
1983.0;269.0;-10.8857142857143;118.4987755102044;-0.17;209.2520662449196;59.747933755080396;3569.8155880014756;0.92
1984.0;206.0;-73.8857142857143;5459.098775510206;-1.14;225.25596012119993;-19.255960121199934;370.7920001892422;-0.3
1985.0;336.0;56.1142857142857;3148.813061224488;0.86;303.88813532401036;32.11186467598964;1031.171852969071;0.49
1986.0;329.0;49.1142857142857;2412.2130612244882;0.76;404.15743482453973;-75.15743482453973;5648.640009404938;-1.16
1987.0;350.0;70.1142857142857;4916.0130612244875;1.08;279.49399802879486;70.50600197120514;4971.096313963582;1.08
1988.0;401.0;121.1142857142857;14668.670204081629;1.86;232.19645213807868;168.80354786192132;28494.637770771962;2.6
1989.0;161.0;-118.8857142857143;14133.813061224493;-1.83;258.13334705577165;-97.13334705577165;9434.887110256983;-1.49
1991.0;243.0;-36.8857142857143;1360.555918367348;-0.57;273.9711159577836;-30.97111595778358;959.2100236704769;-0.48
1992.0;182.0;-97.8857142857143;9581.613061224492;-1.51;193.48398017968128;-11.483980179681282;131.88180076731254;-0.18
1993.0;237.0;-42.8857142857143;1839.1844897959197;-0.66;228.75194906848503;8.248050931514967;68.03034416886493;0.13
1994.0;378.0;98.1142857142857;9626.413061224486;1.51;260.6488236811713;117.35117631882872;13771.298583412827;1.81
1995.0;234.0;-45.8857142857143;2105.4987755102056;-0.71;186.06796708084647;47.93203291915353;2297.4797797628175;0.74
1996.0;377.0;97.1142857142857;9431.184489795916;1.49;400.8937318959572;-23.893731895957217;570.9104239158833;-0.37
1999.0;305.0;25.1142857142857;630.7273469387748;0.39;261.9265261908714;43.073473809128586;1855.3241459856863;0.66
2001.0;169.0;-110.8857142857143;12295.641632653065;-1.71;170.7814507550716;-1.781450755071603;3.1735667927451843;-0.03
2003.0;256.0;-23.8857142857143;570.5273469387762;-0.37;309.2191714138464;-53.219171413846425;2832.2802059763685;-0.82
2004.0;272.0;-7.8857142857143;62.1844897959186;-0.12;298.5477555495006;-26.547755549500607;704.7833247160403;-0.41
2005.0;232.0;-47.8857142857143;2293.0416326530626;-0.74;294.064923994618;-62.06492399461803;3852.0547904577124;-0.95
2007.0;363.0;83.1142857142857;6907.984489795916;1.28;335.0948588564707;27.905141143529306;778.696902240292;0.43
2008.0;160.0;-119.8857142857143;14372.584489795921;-1.84;179.92139389017285;-19.92139389017285;396.8619345274162;-0.31
2009.0;186.0;-93.8857142857143;8814.527346938778;-1.44;211.79374536495288;-25.793745364952883;665.3172999520284;-0.4
2010.0;327.0;47.1142857142857;2219.7559183673457;0.72;371.57824844402245;-44.57824844402245;1987.22023433699;-0.69
2011.0;261.0;-18.8857142857143;356.6702040816332;-0.29;295.07412831538295;-34.07412831538295;1161.046220453182;-0.52
2012.0;205.0;-74.8857142857143;5607.870204081635;-1.15;230.12312506714102;-25.123125067141018;631.1714131392093;-0.39
2013.0;314.0;34.1142857142857;1163.7844897959174;0.52;366.60152681717744;-52.601526817177444;2766.9206234982375;-0.81
2015.0;143.0;-136.8857142857143;18737.69877551021;-2.11;174.52064578364866;-31.52064578364866;993.5511106182481;-0.48
2017.0;296.0;16.1142857142857;259.67020408163216;0.25;276.5587177774075;19.44128222259252;377.9634544584919;0.3
2018.0;249.0;-30.8857142857143;953.9273469387764;-0.48;237.457155863865;11.542844136134988;133.23725075110588;0.18
2019.0;171.0;-108.8857142857143;11856.098775510207;-1.67;210.1428484214529;-39.142848421452896;1532.1625825448375;-0.6
2021.0;193.0;-86.8857142857143;7549.127346938778;-1.34;312.0073082432317;-119.0073082432317;14162.739415299566;-1.83
       LassoLars,
H_avg=279.8857142857143,
Sigma=96.45199093135325,
Delta_dop=65.0086418877321,
Pk=51.42857143,
Pm=80.0,
S=65.31111500414232,
Criterion=0.677135996608152,
Criterion^2=0.4585131579025153,
Correlation=0.735857895315043,
Model=LassoLars()
Model;        LassoLars,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Model:; LassoLars,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Модель:; LassoLars,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Модель:; LassoLars,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Модель:; LassoLars,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Модель:; LassoLars,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



������:; LassoLars,
����������:; Smax, H, X, X1, X3,
���������:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Модель:; LassoLars,
Предикторы:; Smax, H, X, X1, X3,
Уравнение:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



������:; LassoLars,
����������:; Smax, H, X, X1, X3,
���������:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Model:; LassoLars,
Predictors:; Smax, H, X, X1, X3,
Equation:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Model:; LassoLars,
Predictors:; Smax, H, X, X1, X3,
Equation:; 50.03 + 2.09*Smax + 0.39*H + 0.05*X + 0.55*X1 + 0.37*X3,
H_avg;279.8857142857143,
Sigma;96.45199093135325,
Delta_dop;65.0086418877321,
Pk;51.42857143,
Pm;80.0,
S;65.31111500414232,
Criterion;0.677135996608152,
Criterion^2;0.4585131579025153,
Correlation;0.735857895315043,
Model;LassoLars()



Model:; LassoLars,
Predictors:; Smax, H, X, X1, X3,
