Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Criterion_f;Correlation_f;Pm_f;R2_f
;;KNeighborsRegressor;0.3200434177756238;0.9474028766783947;90.9090909090909;0.8975722107384976;0.4073078375681738;0.9132909314427348;86.0;0.8341003254555381;0.38543745540325436;0.922733963812032;88.0;0.8514379679722643
;;AdaBoostRegressor;0.4040420782226275;0.9147403997996044;87.87878787878788;0.8367499990255401;0.4026194352887907;0.9153674619122832;89.0;0.8378975903277353;0.3935138929222677;0.9193186694923376;90.0;0.845146816077162
;;VotingRegressor;0.4140739099683435;0.9102432625861772;90.9090909090909;0.8285427970835282;0.4209997653477392;0.9070607463544812;87.0;0.8227591975771484;0.3860165916253529;0.9224918378988215;88.0;0.8509911909899456
;;ExtraTreesRegressor;0.4354572849669472;0.9002093939574364;84.84848484848484;0.810376952969215;0.3997350066213108;0.9166307459830598;87.0;0.8402119244814606;0.38367948668118723;0.9234663239664241;89.0;0.8527900515000607
;;HistGradientBoostingRegressor;0.4638792914767331;0.8858984156995903;81.81818181818183;0.7848160029390441;0.5460901702386448;0.8377264028122356;76.0;0.701785525968728;0.46807307308911533;0.8836897635759462;81.0;0.7809075982489118
;;RandomForestRegressor;0.519731012860691;0.8543299563229656;78.78787878787878;0.7298796742708002;0.45425728152590983;0.8908705417627695;87.0;0.7936503221806903;0.43019583549980084;0.9027355887072517;85.0;0.8149315431186283
;;BaggingRegressor;0.6684038885814239;0.7437985222687873;63.63636363636363;0.5532362417292316;0.6070493528897735;0.7946641322949636;72.0;0.6314910831561071;0.5895552833238564;0.8077280284259841;75.0;0.6524245679049274
S_2802, H_2802;407.656 + 2.45*S_2802 + 0.148*H_2802;OMP2;0.7400148519962566;0.6725905283491275;69.6969696969697;0.45237801882495865;0.6287648443354917;0.7775955057276018;70.0;0.6046547705277647;0.6281840542385239;0.7780647749387266;70.0;0.6053847940004513
S_2802;450.35 + 2.349*S_2802;OMP1;0.7418613680363397;0.6705532869319563;66.66666666666666;0.4496417106152506;0.6398137073210572;0.7685300384006369;67.0;0.5906384199240844;0.6395635132547435;0.7687382600815764;67.0;0.5909585125132497
S_2802, H_2802, X2;363.596 + 2.151*S_2802 + 0.221*H_2802 + 1.062*X2;Lars3;0.7424831842771744;0.6698647035526111;66.66666666666666;0.4487187210656275;0.6428050853712107;0.766029778938724;70.0;0.5868016222209105;0.6405456591257435;0.7679200860605008;70.0;0.5897012585751669
S_2802, X2;468.047 + 1.916*S_2802 + 0.271*X2;Lars2;0.7445712577193905;0.6675429890113183;63.63636363636363;0.445613642178165;0.6611655551501457;0.7502400340444381;69.0;0.5628601086829996;0.6585160668120542;0.7525666679772511;69.0;0.5663565897503821
S_2802;485.133 + 1.842*S_2802;Lars1;0.747494028676566;0.6642685278506555;63.63636363636363;0.4412526770928772;0.6676006774903931;0.7445195332658292;69.0;0.5543093354143682;0.6627720685893662;0.7488211970141954;69.0;0.5607331850977726
S_2802, H_2802, X2, Xs;350.87 + 2.264*S_2802 + 0.289*H_2802 + 1.337*X2 - 0.108*Xs;QuantileRegressor;0.7477172003683465;0.6640173102211432;63.63636363636363;0.4409189882733219;0.6451669756641593;0.7640416045689935;73.0;0.5837595735123622;0.6440126219678927;0.7650148643954836;71.0;0.5852477427460402
S_2802, H_2802, X2, Xs;308.65 + 2.342*S_2802 + 0.388*H_2802 + 1.76*X2 - 0.234*Xs;LassoCV;0.7531539468859859;0.6578443070286931;66.66666666666666;0.4327591322900616;0.645794589967643;0.763511196753868;73.0;0.5829493475685237;0.6437611202659618;0.7652265155063002;73.0;0.5855716200339139
