8;8O-8E0;8H:8;;;;;;;
@>3=>7 <0:A8<0;L=>3> C@>2=O 2>4K =0 2024 3>4;;;;;;;
;;;;;;;
Group;Hmax;Criterion;Correlation;Pm;Method;Predictors;Equations
2;199;0.577;0.816;73.333;Lars5;S_2802, H_2802, X3, Xs, L_2802;8.071 + 0.913*S_2802 + 0.215*H_2802 + 0.379*X3 + 0.301*Xs + 1.196*L_2802
2;191;0.580;0.815;73.333;OMP4;S_2802, X3, Xs, L_2802; - 17.056 + 1.044*S_2802 + 0.482*X3 + 0.479*Xs + 1.444*L_2802
2;204;0.580;0.815;73.333;QuantileRegressor;S_2802, H_2802, X2, X3, Xs, L_2802; - 28.22 + 0.951*S_2802 + 0.306*H_2802 + 0.292*X2 + 0.481*X3 + 0.243*Xs + 1.12*L_2802
2;119;0.581;0.814;80.000;PassiveAggressiveRegressor;S_2802, H_2802, X2, X3, Xs, L_2802, Y_sum; - 0.189 + 1.233*S_2802 + 0.127*H_2802 + 0.436*X2 + 0.232*X3 + 0.34*Xs + 1.322*L_2802 + 0.183*Y_sum
0;213;0.613;0.790;66.667;BaggingRegressor;;
2;161;0.624;0.781;73.333;OMP3;S_2802, X3, L_2802;22.2 + 1.084*S_2802 + 0.637*X3 + 1.298*L_2802
0;226;0.638;0.770;66.667;Lars11;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01; - 65.576 + 0.326*S_2802 + 0.567*Smax + 0.334*H_2802 + 0.277*X - 0.098*X1 + 0.326*X2 + 0.387*X3 + 0.201*Xs + 0.189*L_max + 1.113*L_2802 + 0.197*Q01
0;247;0.647;0.763;76.667;LarsCV;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01; - 70.193 + 0.206*S_2802 + 0.646*Smax + 0.37*H_2802 - 0.271*X - 0.657*X1 + 0.99*X2 + 0.472*X3 + 0.765*Xs - 0.533*L_max + 1.829*L_2802 - 0.458*Q12 + 0.386*Q01
0;274;0.650;0.760;76.667;Lars12;S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01; - 70.349 + 0.202*S_2802 + 0.649*Smax + 0.372*H_2802 - 0.289*X - 0.676*X1 + 1.012*X2 + 0.475*X3 + 0.784*Xs - 0.558*L_max + 1.854*L_2802 - 0.474*Q12 + 0.392*Q01
0;215;0.655;0.755;66.667;Lars10;S_2802, Smax, H_2802, X, X2, X3, Xs, L_max, L_2802, Q01; - 64.125 + 0.321*S_2802 + 0.573*Smax + 0.335*H_2802 + 0.376*X + 0.219*X2 + 0.388*X3 + 0.087*Xs + 0.264*L_max + 1.035*L_2802 + 0.189*Q01
2;185;0.665;0.747;66.667;Lars4;S_2802, X3, Xs, L_2802;98.359 + 0.766*S_2802 + 0.35*X3 + 0.059*Xs + 0.802*L_2802
0;211;0.668;0.744;60.000;HistGradientBoostingRegressor;;
0;208;0.668;0.744;70.000;OMP7;Smax, H_2802, X, X2, X3, Xs, L_2802; - 99.264 + 0.92*Smax + 0.428*H_2802 + 0.296*X + 0.426*X2 + 0.452*X3 + 0.185*Xs + 1.435*L_2802
2;121;0.689;0.725;63.333;OMP2;S_2802, L_2802;120.571 + 1.364*S_2802 + 1.248*L_2802
0;200;0.689;0.725;70.000;OMP6;Smax, H_2802, X, X2, X3, L_2802; - 87.216 + 0.887*Smax + 0.446*H_2802 + 0.379*X + 0.39*X2 + 0.487*X3 + 1.357*L_2802
2;185;0.689;0.724;66.667;Lars3;S_2802, X3, L_2802;114.69 + 0.726*S_2802 + 0.331*X3 + 0.711*L_2802
0;218;0.692;0.722;60.000;RandomForestRegressor;;
0;199;0.694;0.720;70.000;OMP5;Smax, H_2802, X, X3, L_2802; - 65.27 + 0.877*Smax + 0.381*H_2802 + 0.399*X + 0.497*X3 + 1.316*L_2802
0;199;0.694;0.720;70.000;OMPCV;Smax, H_2802, X, X3, L_2802; - 65.27 + 0.877*Smax + 0.381*H_2802 + 0.399*X + 0.497*X3 + 1.316*L_2802
