Predictors;Equations;Method;Criterion;Correlation;Pm;R2;R2_t;Prediction
;;KNeighborsRegressor;0.24198459679734302;0.9702800909597328;97.2972972972973;0.9414434549128273;0.9105418971142898;213.4737166517826
;;KNeighborsRegressor;0.382009591226308;0.9241583588385213;89.1891891891892;0.854068672211109;0.8803016058850859;264.0353655842926
;;KNeighborsRegressor;0.4366241765146649;0.8996440009708789;91.8918918918919;0.8093593284828907;0.799623821054053;254.96973141888367
S_2802, H_2802, X2, X3, Xs;26.325 + 1.888*S_2802 + 0.158*H_2802 + 1.289*X2 + 0.387*X3 + 0.38*Xs;Lars6;0.6904694541026146;0.7233615506447916;72.97297297297297;0.5232519329512373;0.6223071582080668;211.3879093529564
S_2802, Smax, H_2802, X, X2, X3;126.239 + 1.692*S_2802 + 0.001*Smax + 0.049*H_2802 + 0.154*X + 0.304*X2 + 0.201*X3;Lars6;0.7027456729239802;0.7114411565172641;75.67567567567568;0.5061485191866222;0.47808206491653216;218.7326789910228
Smax, H_2802, X, X1, X3;33.255 + 2.013*Smax - 0.039*H_2802 + 0.405*X + 0.764*X1 + 0.336*X3;Lars6;0.7432685827608478;0.6689931344047416;70.27027027027027;0.44755181388068066;0.6303266613699996;294.2290094457251
