Predictors;Equations;Method;Criterion;Correlation;Pm;R2;R2_t;Prediction
;;KNeighborsRegressor;0.19875593948302414;0.980049017406895;100.0;0.9604960765202204;0.9738116382647397;266.8390175669087
;;KNeighborsRegressor;0.5252268427671318;0.8509622574690786;80.0;0.7241367636368705;0.7965873829968175;241.95384333818834
S_2802, H_2802, X2, X3, Xs, L_2802;76.599 + 0.806*S_2802 + 0.377*H_2802 + 0.693*X2 + 0.009*X3 + 0.249*Xs + 0.373*L_2802;Lars6;0.5679809405930967;0.8230417067943647;73.33333333333333;0.6773976511229813;0.7090771873188537;259.8068188674758
;;KNeighborsRegressor;0.6612505668898379;0.7501651070183604;76.66666666666667;0.5627476877878681;0.6601274139359111;225.52823240413613
S_2802, H_2802, X, X2, X3, L_2802;161.43 + 0.527*S_2802 + 0.048*H_2802 + 0.284*X + 0.168*X2 + 0.055*X3 + 0.103*L_2802;Lars6;0.705454459007301;0.70875525131509;56.666666666666664;0.5023340062667163;0.598742352286683;233.3192281229138
Smax, H_2802, X, X1, X3, L_max;90.554 + 0.626*Smax + 0.212*H_2802 + 0.359*X + 0.084*X1 + 0.109*X3 + 0.282*L_max;Lars6;0.7299272425261586;0.6835248500370403;53.333333333333336;0.4672062206181584;0.540545190268501;231.72858376777566
