Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Group;Augmentation;Data size;Normalization;Equations
;;AdaBoostRegressor;0.21617358554447602;0.9763549461711376;97.2972972972973;0.9532689809128451;0.16828788023101976;0.9857378908043203;100.0;0.97167918936735;0;Spline 1;330;none;
;;StackingRegressorRidge;0.37017023735251375;0.9289639365327287;94.5945945945946;0.8629739953783836;0.3407180632935735;0.9401655180581111;90.0;0.8839112013454764;0;Spline 1;330;none;
;;ExtraTreesRegressor;0.3827718031602995;0.9238429231776433;94.5945945945946;0.8534857467054129;0.33588124817960024;0.9419043407487374;90.0;0.8871837871213137;0;Spline 1;330;none;
;;BaggingRegressor;0.384559662219965;0.923100138767873;94.5945945945946;0.8521138661932665;0.33106295700041266;0.9436086680940055;93.33333333333333;0.8903973185021429;0;Spline 1;330;none;
;;HistGradientBoostingRegressor;0.4148578215974357;0.9098862499562406;86.48648648648648;0.8278929878594302;0.3455956559410268;0.9383835263871012;90.0;0.8805636425946914;0;Spline 1;330;none;
;;VotingRegressor;0.4297840381357991;0.9029317142307529;89.1891891891892;0.815285680563686;0.34802582644156776;0.9374849460816231;93.33333333333333;0.8788780241296638;0;Spline 1;330;none;
;;KNeighborsRegressor;0.4362452940263204;0.8998277854344626;89.1891891891892;0.8096900434398893;0.33318346515921127;0.9428620145835236;96.66666666666667;0.8889887785445006;0;Spline 1;330;none;
;;RandomForestRegressor;0.4728057750171782;0.8811666693142708;94.5945945945946;0.7764546991104055;0.391552494127894;0.9201557717811836;90.0;0.8466866443422255;0;Spline 1;330;none;
;;StackingRegressor;0.47548912169303487;0.8797216009349698;89.1891891891892;0.7739100951515864;0.30048338378636635;0.9537870496438371;90.0;0.9097097360682953;0;Spline 1;330;none;
S_2802, Smax, H_2802, X, X2, X3, Xs;140.579 + 1.731*S_2802 + 0.686*Smax - 0.156*H_2802 - 0.489*X + 0.793*X2 + 0.299*X3 + 0.545*Xs;LassoLarsCV;0.6154770612797085;0.7881547989059599;78.37837837837837;0.621187987038494;0.5315267870521874;0.8470414834268618;83.33333333333334;0.7174792746459786;0;Spline 1;330;none;140.579 + 1.731*S_2802 + 0.686*Smax - 0.156*H_2802 - 0.489*X + 0.793*X2 + 0.299*X3 + 0.545*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;138.614 + 1.686*S_2802 + 0.728*Smax - 0.152*H_2802 - 0.55*X - 0.08*X1 + 0.916*X2 + 0.299*X3 + 0.607*Xs;LassoCV;0.6207948668462067;0.7839730437313521;78.37837837837837;0.6146137332974005;0.5351632282720167;0.8447486721537202;83.33333333333334;0.7136003191054734;0;Spline 1;330;none;138.614 + 1.686*S_2802 + 0.728*Smax - 0.152*H_2802 - 0.55*X - 0.08*X1 + 0.916*X2 + 0.299*X3 + 0.607*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;136.662 + 1.589*S_2802 + 0.811*Smax - 0.143*H_2802 - 0.648*X - 0.23*X1 + 1.109*X2 + 0.299*X3 + 0.703*Xs;Ridge;0.632090323346138;0.7748947174501674;75.67567567567568;0.6004618231321748;0.5439489905435102;0.8391182846814246;83.33333333333334;0.7041194956866962;0;Spline 1;330;none;136.662 + 1.589*S_2802 + 0.811*Smax - 0.143*H_2802 - 0.648*X - 0.23*X1 + 1.109*X2 + 0.299*X3 + 0.703*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;135.675 + 1.572*S_2802 + 0.823*Smax - 0.137*H_2802 - 0.696*X - 0.299*X1 + 1.212*X2 + 0.297*X3 + 0.75*Xs;RidgeCV;0.6382951174618617;0.7697917530243801;75.67567567567568;0.5925793430243482;0.5486525791588274;0.8360504454770457;83.33333333333334;0.6989803473823666;0;Spline 1;330;none;135.675 + 1.572*S_2802 + 0.823*Smax - 0.137*H_2802 - 0.696*X - 0.299*X1 + 1.212*X2 + 0.297*X3 + 0.75*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;135.664 + 1.571*S_2802 + 0.823*Smax - 0.137*H_2802 - 0.696*X - 0.3*X1 + 1.213*X2 + 0.297*X3 + 0.751*Xs;LinearRegression;0.6383709417789581;0.7697288747943954;75.67567567567568;0.592482540692246;0.5487108097573724;0.8360122291302973;83.33333333333334;0.6989164472554086;0;Spline 1;330;none;135.664 + 1.571*S_2802 + 0.823*Smax - 0.137*H_2802 - 0.696*X - 0.3*X1 + 1.213*X2 + 0.297*X3 + 0.751*Xs
;;NuSVR;0.6906743608872634;0.7231659057318522;83.78378378378379;0.5229689272129702;0.5421847810317829;0.8402592833271868;86.66666666666667;0.7060356632175175;0;Spline 1;330;none;
;;SVR;0.6926221103976852;0.7213006392540193;83.78378378378379;0.5202746121882569;0.5417646970842216;0.8405301975498808;90.0;0.7064910129932416;0;Spline 1;330;none;
;;MLPRegressor;0.9119332566613574;0.4103385619156587;64.86486486486487;0.1683777353950111;0.8789008412773779;0.47700451905817143;76.66666666666667;0.22753331120191722;0;Spline 1;330;none;
