Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Мосты
Предикторы:;; S_2802, H, X2, X3, Xs
Уравнение:;; 55.55 + 1.21*S_2802 + 0.72*H + 0.75*X2 + 0.05*X3 + 0.3*Xs
Модель:;; ElasticNet_GridSearchCV

№;Год;"Hmax
фактический";Hф-Hср;(Hф-Hср)^2;"δ50%
Погрешность климатических прогнозов в долях от допустимой погрешности";"Hmax
прогнозный";Hф-Hп;(Hф-Hп)^2;"δ50%
Погрешность проверочных прогнозов в долях от допустимой погрешности"
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.71;204.90497655071763;-2.9049765507176346;8.438888760219326;-0.05
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.56;297.95037197770404;-17.950371977704037;322.21585413794236;-0.29
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.02;397.912222660352;155.08777733964803;24052.218680152244;2.53
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1;249.44046354945377;63.55953645054623;4039.814673808315;1.04
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.56;240.3332171493805;39.66678285061951;1573.4536617182023;0.65
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.03;265.7540902529381;-18.754090252938113;351.7159012153483;-0.31
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.19;235.97013050729632;-1.970130507296318;3.8814142157796474;-0.03
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.18;231.17016702111954;-58.17016702111954;3383.7683312649433;-0.95
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.28;241.50362765603236;82.49637234396764;6805.651449914548;1.35
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.22;319.3148326030265;0.6851673969734975;0.4694543618754383;0.01
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.36;253.87610496838303;75.12389503161697;5643.599604721405;1.22
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.51;240.5501588121871;158.4498411878129;25106.352172443127;2.58
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.93;172.80535752997184;-45.80535752997184;2098.1307784485484;-0.75
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.69;235.17398862561885;-32.17398862561885;1035.165544081451;-0.52
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.33;158.36906782972565;5.630932170274349;31.707397106230587;0.09
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.58;242.4383389622708;-32.43833896227079;1052.2458346311753;-0.53
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.2;336.78787189446655;43.21212810553345;1867.2880154090342;0.7
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;202.31347667525074;-6.31347667525074;39.85998772893514;-0.1
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.3;337.2846454833026;-12.284645483302597;150.9125146504269;-0.2
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.35;264.93220555620417;63.06779444379583;3977.546696004885;1.03
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.8;159.5555686211039;-24.5555686211039;602.9759503057426;-0.4
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41;233.47211912030062;-13.472119120300619;181.49799359156953;-0.22
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.45;260.2455971245033;12.75440287549668;162.674792710478;0.21
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;261.70274121348916;-65.70274121348916;4316.850202966727;-1.07
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.56;281.140095955834;-1.1400959558339991;1.2998187885090402;-0.02
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.74;261.8998240046998;-61.89982400469978;3831.588211812807;-1.01
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.8;157.25573404040426;-22.255734040404263;495.3176976772091;-0.36
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.46;216.35033914833153;-60.35033914833153;3642.163435318637;-0.98
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.23;309.3262833145567;11.67371668544331;136.27566125199755;0.19
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.82;244.29526467576557;-49.295264675765566;2430.0231194537805;-0.8
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.0;185.3049719253784;-1.3049719253783962;1.7029517260257985;-0.02
32.0;2013.0;301.0;55.648648648648646;3096.7720964207447;0.91;321.3749070032213;-20.374907003221324;415.13683538991734;-0.33
33.0;2015.0;115.0;-130.35135135135135;16991.474799123447;-2.13;161.58114896636403;-46.581148966364026;2169.803439026596;-0.76
34.0;2017.0;263.0;17.648648648648646;311.47479912344767;0.29;206.60348606550747;56.39651393449253;3180.56678396341;0.92
35.0;2018.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;242.4027370759288;-46.4027370759288;2153.214008137777;-0.76
36.0;2019.0;141.0;-104.35135135135135;10889.204528853179;-1.7;221.2936366750673;-80.29363667506729;6447.068090507711;-1.31
37.0;2021.0;180.0;-65.35135135135135;4270.799123447772;-1.07;225.41022880414172;-45.410228804141724;2062.0888800445027;-0.74
Сумма;;9078.0
Средний;;245.35135135135135
Высший;;553.0
Низший;;115.0

σ = ;;90.99731870781696;;σ -;среднеквадратическое отклонение (см)
δдоп =;;61.33219280906864;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;45.94594595;;Pк -;климатическая обеспеченность в %
Pм =;;75.67567568;;Pм -;обеспеченность метода в %
S =;;56.21750536172678;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.617792987310268;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.38166817516974494;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7863407816145969;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
