Predictors;Equations;Method;Criterion;Correlation;Pm;R2
S_2802, H_2802, X, X2, X3;64.09 + 1.348*S_2802 + 0.361*H_2802 + 0.359*X + 0.868*X2 + 0.232*X3;OMP5;0.6227611361044295;0.7824120189247608;81.08108108108108;0.6121685673579202
S_2802, H_2802, X, X1, X2, X3;76.443 + 1.338*S_2802 + 0.283*H_2802 + 0.397*X + 0.168*X1 + 0.697*X2 + 0.217*X3;Lars6;0.6243227302173936;0.7811665178013582;78.37837837837837;0.6102211285338995
S_2802, H_2802, X, X1, X2, X3;56.051 + 1.375*S_2802 + 0.327*H_2802 + 0.448*X + 0.237*X1 + 0.729*X2 + 0.224*X3;OMP6;0.624361467462546;0.7811355567044789;75.67567567567568;0.6101727579480162
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;82.794 + 1.02*S_2802 + 0.266*Smax + 0.249*H_2802 + 0.515*X + 0.297*X1 + 0.503*X2 + 0.238*X3 - 0.148*Xs;BayesianRidge;0.6311934966586058;0.7756254055766112;81.08108108108108;0.6015947697758827
S_2802, H_2802, X, X2, X3;125.754 + 1.249*S_2802 + 0.177*H_2802 + 0.272*X + 0.62*X2 + 0.199*X3;Lars5;0.6349465483125907;0.7725560696712743;75.67567567567568;0.5968428807859271
S_2802, X, X3;158.509 + 1.334*S_2802 + 0.302*X + 0.316*X3;OMP3;0.6418819193526798;0.7668034960849617;75.67567567567568;0.5879876016081199
S_2802, X, X2, X3;134.028 + 1.351*S_2802 + 0.251*X + 0.893*X2 + 0.295*X3;OMP4;0.6427499990066045;0.7660760006533359;75.67567567567568;0.5868724387770101
S_2802, H_2802, X, X2, X3;166.093 + 1.184*S_2802 + 0.056*H_2802 + 0.216*X + 0.459*X2 + 0.178*X3;LarsCV;0.651702190734379;0.7584749531738086;83.78378378378379;0.5752842545920113
S_2802, H_2802, X, X2, X3;166.093 + 1.184*S_2802 + 0.056*H_2802 + 0.216*X + 0.459*X2 + 0.178*X3;LassoLarsCV;0.651702190734379;0.7584749531738086;83.78378378378379;0.5752842545920113
S_2802, X, X2, X3;184.77 + 1.154*S_2802 + 0.189*X + 0.384*X2 + 0.168*X3;Lars4;0.6616544654793669;0.7498088878582417;78.37837837837837;0.5622133683112134
S_2802, H_2802, X, X1, X2, X3, Xs;54.922 + 1.361*S_2802 + 0.338*H_2802 + 0.945*X + 0.736*X1 + 0.312*X2 + 0.219*X3 - 0.52*Xs;Lars7;0.6660512597324818;0.7459059722302631;64.86486486486487;0.5563757194087742
S_2802, X3;183.859 + 1.471*S_2802 + 0.302*X3;OMP2;0.6669853971625461;0.7450707885643623;72.97297297297297;0.5551304799719207
S_2802;227.07 + 1.477*S_2802;OMPCV;0.693639201319391;0.72032260716501;75.67567567567568;0.5188646583929972
S_2802;227.07 + 1.477*S_2802;OMP1;0.693639201319391;0.72032260716501;75.67567567567568;0.5188646583929972
S_2802, X, X3;222.962 + 1.005*S_2802 + 0.143*X + 0.072*X3;Lars3;0.6946880929412118;0.7193110964844781;70.27027027027027;0.5174084535257023
S_2802, X;241.818 + 0.909*S_2802 + 0.097*X;Lars2;0.7279617310586644;0.6856177638553954;62.16216216216216;0.4700717181140728
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;40.188 + 1.454*S_2802 - 0.098*Smax + 0.388*H_2802 + 1.294*X + 1.084*X1 + 0.086*X2 + 0.215*X3 - 0.838*Xs;Lars8;0.73376877413046;0.6793992832724229;54.054054054054056;0.46158338611108196
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;40.188 + 1.454*S_2802 - 0.098*Smax + 0.388*H_2802 + 1.294*X + 1.084*X1 + 0.086*X2 + 0.215*X3 - 0.838*Xs;LinearRegression;0.7337687741304602;0.6793992832724227;54.054054054054056;0.46158338611108174
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;40.188 + 1.454*S_2802 - 0.098*Smax + 0.388*H_2802 + 1.294*X + 1.084*X1 + 0.086*X2 + 0.215*X3 - 0.838*Xs;OMP8;0.7337687741304625;0.6793992832724203;54.054054054054056;0.4615833861110784
;;KNeighborsRegressor;0.7453086773904234;0.6667195627897369;62.16216216216216;0.44451497540653784
S_2802, H_2802, X, X1, X2, X3, Xs;39.682 + 1.378*S_2802 + 0.377*H_2802 + 1.334*X + 1.138*X1 + 0.039*X2 + 0.22*X3 - 0.888*Xs;OMP7;0.7466003094195932;0.6652728597910542;54.054054054054056;0.4425879779745676
S_2802;260.659 + 0.684*S_2802;Lars1;0.7942762552650792;0.6075567712749836;54.054054054054056;0.3691252303220829
