Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Мосты по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax
Уравнение;; 4.36 + 0.01*Smax

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;202.0;-43.351351351351354;1879.3396639883129;-0.71;197.78969736763267;4.2103026323673305;17.726648256119272;0.07
2.0;1978.0;280.0;34.648648648648646;1200.5288531775016;0.56;284.11386667648884;-4.11386667648884;16.923899031925334;-0.07
3.0;1979.0;553.0;307.64864864864865;94647.69101533966;5.02;459.5984843226661;93.40151567733392;8723.843130823254;1.52
4.0;1980.0;313.0;67.64864864864865;4576.339663988312;1.1;253.23035875406913;59.76964124593087;3572.410014667281;0.97
5.0;1981.0;280.0;34.648648648648646;1200.5288531775016;0.56;238.69720759068656;41.30279240931344;1705.92066080684;0.67
6.0;1982.0;247.0;1.6486486486486456;2.718042366691005;0.03;280.0576230855085;-33.05762308550851;1092.806444063545;-0.54
7.0;1983.0;234.0;-11.351351351351354;128.85317750182622;-0.19;190.97368850482994;43.02631149517006;1851.2634808794035;0.7
8.0;1984.0;173.0;-72.35135135135135;5234.718042366691;-1.18;197.557560287306;-24.55756028730599;603.0737672646683;-0.4
9.0;1985.0;324.0;78.64864864864865;6185.609934258582;1.28;227.98739687370016;96.01260312629984;9218.419959088362;1.57
10.0;1986.0;320.0;74.64864864864865;5572.420745069393;1.22;315.21986167455805;4.780138325441953;22.849722410359004;0.08
11.0;1987.0;329.0;83.64864864864865;6997.096420745069;1.36;229.13861850602188;99.86138149397812;9972.295513885834;1.63
12.0;1988.0;399.0;153.64864864864865;23607.90723155588;2.51;221.93377491887495;177.06622508112505;31352.44806447964;2.89
13.0;1989.0;127.0;-118.35135135135135;14007.042366691016;-1.93;197.45998612495708;-70.45998612495708;4964.609644729145;-1.15
14.0;1991.0;203.0;-42.351351351351354;1793.6369612856101;-0.69;222.51842124273892;-19.518421242738924;380.9687678090021;-0.32
15.0;1992.0;164.0;-81.35135135135135;6618.042366691016;-1.33;158.18460979988913;5.815390200110869;33.818763179545535;0.09
16.0;1993.0;210.0;-35.351351351351354;1249.7180423666912;-0.58;200.2944518196314;9.705548180368595;94.19766548145614;0.16
17.0;1994.0;380.0;134.64864864864865;18130.25858290723;2.2;328.6937294553818;51.3062705446182;2632.333397197557;0.84
18.0;1995.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;199.63884537480484;-3.638845374804845;13.241195661738612;-0.06
19.0;1996.0;325.0;79.64864864864865;6343.90723155588;1.3;359.6378791147673;-34.637879114767316;1199.7826695692338;-0.56
20.0;1999.0;328.0;82.64864864864865;6830.799123447771;1.35;242.74524946857812;85.25475053142188;7268.372488174979;1.39
21.0;2001.0;135.0;-110.35135135135135;12177.420745069394;-1.8;146.87227925150728;-11.87227925150728;140.95101462577026;-0.19
22.0;2003.0;220.0;-25.351351351351354;642.6910153396641;-0.41;220.24697495197933;-0.2469749519793254;0.06099662690519009;-0.0
23.0;2004.0;273.0;27.648648648648646;764.4477720964205;0.45;246.63133772597007;26.36866227402993;695.3063501218493;0.43
24.0;2005.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;220.33859974622067;-24.338599746220666;592.3674376067327;-0.4
25.0;2006.0;280.0;34.648648648648646;1200.5288531775016;0.56;270.59388531659994;9.406114683400062;88.47499343727425;0.15
26.0;2007.0;200.0;-45.351351351351354;2056.7450693937185;-0.74;223.75551539854393;-23.755515398543935;564.324511850458;-0.39
27.0;2008.0;135.0;-110.35135135135135;12177.420745069394;-1.8;157.80173495868382;-22.801734958683824;519.919117126064;-0.37
28.0;2009.0;156.0;-89.35135135135135;7983.663988312637;-1.46;202.16006444539389;-46.160064445393886;2130.751549602917;-0.75
29.0;2010.0;321.0;75.64864864864865;5722.7180423666905;1.23;360.2411461724312;-39.24114617243117;1539.8675529261097;-0.64
30.0;2011.0;195.0;-50.351351351351354;2535.258582907232;-0.82;273.8654184455224;-78.86541844552238;6219.754226587342;-1.29
31.0;2012.0;184.0;-61.351351351351354;3763.988312636962;-1.0;191.6297740927899;-7.629774092789887;58.21345270700775;-0.12
32.0;2013.0;301.0;55.648648648648646;3096.7720964207447;0.91;371.7637560511224;-70.76375605112241;5007.509170462764;-1.15
33.0;2015.0;115.0;-130.35135135135135;16991.474799123447;-2.13;150.33662318916922;-35.33662318916922;1248.6769384133315;-0.58
34.0;2017.0;263.0;17.648648648648646;311.47479912344767;0.29;231.12978010562023;31.870219894379773;1015.7109161161202;0.52
35.0;2018.0;196.0;-49.351351351351354;2435.5558802045293;-0.8;218.28502364683763;-22.28502364683763;496.6222789401123;-0.36
36.0;2019.0;141.0;-104.35135135135135;10889.204528853179;-1.7;246.0099690326987;-105.0099690326987;11027.093596248342;-1.71
37.0;2021.0;180.0;-65.35135135135135;4270.799123447772;-1.07;272.2975120272031;-92.29751202720308;8518.830726411697;-1.5
Сумма;;9078.0
Средний;;245.35135135135135
Высший;;553.0
Низший;;115.0

σ = ;;90.99731870781696;;σ -;среднеквадратическое отклонение (см)
δдоп =;;61.33219280906864;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;45.94594595;;Pк -;климатическая обеспеченность в %
Pм =;;72.97297297;;Pм -;обеспеченность метода (допустимой погрешности проверочных прогнозов) в %
S =;;58.83161959904221;;S -;среднеквадратическая погрешность (см)
S/σ =;;0.6465203638356037;;S/σ -;критерий эффективности метода прогнозирования
(S/σ)^2 =;;0.41798858085412144;;ρ -;корреляционное отношение
ρ =;;0.762896729017682;;;(оценка эффективности метода прогнозирования)
Модель:;;TweedieRegressor_GridSearchCV;;δ50% -;погрешность (ошибка) прогнозов (см)
