Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t
;;KNeighborsRegressor;0.2084330775355256;0.9780366313124829;97.2972972972973;0.9565556521890696;0.37980797208217876;0.9250653513902803;91.0;0.8557459043428229
;;MLPRegressor;0.6982061961001244;0.7158967158238643;72.97297297297297;0.5125081077273947;0.7421883510046255;0.6701913544899208;62.0;0.44915645163303486
;;NuSVR;0.7354349813242529;0.6775952982751546;72.97297297297297;0.45913538824459577;0.7208071185716968;0.6931356994242671;66.0;0.480437097816368
;;SVR;0.7385114297691358;0.6742409570030189;72.97297297297297;0.4546008681003467;0.7247270672493947;0.6890360498523218;66.0;0.4747706779960913
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;39.648 + 1.725*S_2802 + 0.197*Smax + 0.105*H_2802 - 0.648*X - 0.633*X1 + 1.846*X2 + 0.313*X3 + 1.061*Xs;LassoCV;0.7426108230278348;0.6697232006746682;64.86486486486487;0.4485291655219217;0.7560870465472925;0.654471067384489;61.0;0.4283323780433922
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;41.351 + 1.722*S_2802 + 0.188*Smax + 0.106*H_2802 - 0.835*X - 0.838*X1 + 2.037*X2 + 0.307*X3 + 1.251*Xs;Ridge;0.7668931720100296;0.641774775699696;64.86486486486487;0.411874862724395;0.7846349474088602;0.619958062537052;61.0;0.3843479993046953
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;41.909 + 1.726*S_2802 + 0.179*Smax + 0.106*H_2802 - 0.891*X - 0.899*X1 + 2.094*X2 + 0.305*X3 + 1.309*Xs;RidgeCV;0.7747711979269927;0.6322417186984521;62.16216216216216;0.3997295908627728;0.7940884802307221;0.607802176341005;60.0;0.36942348556486226
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;41.928 + 1.726*S_2802 + 0.179*Smax + 0.106*H_2802 - 0.893*X - 0.901*X1 + 2.096*X2 + 0.305*X3 + 1.311*Xs;LassoLarsCV;0.7750430646656284;0.6319084173467785;62.16216216216216;0.39930824791371033;0.7944161637867259;0.6073738212290533;60.0;0.36890295871438195
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;41.928 + 1.726*S_2802 + 0.179*Smax + 0.106*H_2802 - 0.893*X - 0.901*X1 + 2.096*X2 + 0.305*X3 + 1.311*Xs;LinearRegression;0.7750430646656287;0.6319084173467783;62.16216216216216;0.3993082479137101;0.7944161637867266;0.6073738212290523;60.0;0.36890295871438084
