year;d_0;S_2802;Smax;d_smax;H_2802;H;H_max;d_hmax;X;X1;X2;X3;Xs
1977;12.12.1976;16;37;20.2;69;105;241;17.03;33;26;7;60;52.0
1978;28.11.1977;85;92;25.2;247;248;340;12.03;89;8;8;106;90
1979;02.12.1978;120;124;25.2;52;169;628;05.04;92;39;38;124;94
1980;12.12.1979;50;85;15.3;40;123;342;12.04;85;12;34;84;66
1981;31.10.1980;13;32;31.1;46;134;282;30.03;97;51;30;178;118
1982;06.12.1981;56;77;31.12;104;209;399;06.03;51;54;7;128;94
1983;03.02.1983;14;20;20.2;28;128;269;06.04;11;71;70;126;12
1984;08.12.1983;30;36;10.2;4;108;206;05.04;76;16;15;91;77
1985;12.11.1984;51;66;15.3;120;119;336;02.04;98;23;34;119;86
1986;15.11.1985;94;94;28.2;222;204;329;09.04;117;23;22;139;117
1987;08.12.1986;55;66;31.1;151;92;350;02.04;53;59;37;88;74
1988;05.12.1987;14;34;15.3;163;119;401;06.04;122;41;56;103;107
1989;30.11.1988;0;41;31.12;152;139;161;05.03;52;53;4;122;101
1991;16.12.1990;22;43;20.2;208;149;243;18.03;58;10;3;142;65
1992;05.12.1991;0;17;5.2;162;124;182;04.03;52;38;3;99;85
1993;30.12.1992;28;28;28.2;110;106;237;22.03;73;17;17;148;74
1994;10.11.1993;35;40;5.3;145;125;378;24.03;147;38;46;136;141
1995;15.12.1994;0;8;20.12;218;115;234;11.03;3;105;21;146;87
1996;18.11.1995;103;115;15.3;106;93;377;20.04;101;33;42;131;93
1999;15.11.1998;32;37;25.2;114;111;305;09.04;97;45;40;178;100
2001;19.12.2000;6;16;5.3;109;96;169;17.03;81;12;18;69;72
2003;30.11.2002;40;60;5.3;116;107;256;14.03;82;19;25;182;76
2004;01.01.2004;44;59;10.3;157;133;272;02.04;122;23;33;126;117
2005;16.01.2005;55;55;28.2;197;149;232;30.03;47;38;37;130;48
2006;19.11.2005;55;72;15.3;132;106;289;17.04;108;27;40;55;96.0
2007;23.01.2007;64;64;28.2;220;220;363;05.03;54;9;7;114;55
2008;22.12.2007;0;13;25.3;145;107;160;05.03;131;0;13;92;82
2009;13.12.2008;12;20;20.1;126;132;186;02.04;30;97;42;126;84
2010;11.12.2009;46;83;15.2;137;164;327;07.04;91;61;42;159;114
2011;26.11.2010;27;52;31.12;344;147;261;12.03;45;70;2;152;110
2012;14.01.2012;15;47;20.2;140;88;205;18.03;34;34;14;69;53
2013;02.12.2012;57;92;5.4;136;117;314;18.04;195;25;67;130;39
2015;24.11.2014;0;10;10.2;114;81;143;14.03;93;18;9;127;102
2017;05.01.2017;0;38;20.1;219;109;296;04.03;2;37;4;227;48
2018;08.01.2018;15;30;5.3;100;89;249;19.03;59;12;20;180;55
2019;21.11.2018;0;30;31.1;140;91;171;23.03;134;54;38;94;87
2021;07.12.2020;19;80;15.2;89;83;193;18.03;155;14;13;92;142
