Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Гродно по данным, рассчитанным
на дату 28 февраля
Предикторы;; S_2802, X3
Уравнение;; 141.76 + 2.37*S_2802 + 0.45*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1978.0;340.0;60.1142857142857;3613.7273469387737;0.92;390.2277760674734;-50.22777606747343;2522.8294886842564;-0.77
2.0;1979.0;628.0;348.1142857142857;121183.55591836733;5.35;481.0875247342236;146.91247526577638;21583.275388717357;2.26
3.0;1980.0;342.0;62.1142857142857;3858.1844897959168;0.96;297.58189200717584;44.41810799282416;1972.9683176621897;0.68
4.0;1981.0;282.0;2.1142857142856997;4.470204081632591;0.03;252.00124067999542;29.99875932000458;899.9255607395617;0.46
5.0;1982.0;399.0;119.1142857142857;14188.213061224486;1.83;331.4274623754756;67.57253762452439;4566.047841017764;1.04
6.0;1983.0;269.0;-10.8857142857143;118.4987755102044;-0.17;231.14782740375801;37.852172596241985;1432.7869702556927;0.58
7.0;1984.0;206.0;-73.8857142857143;5459.098775510206;-1.14;253.38069214829156;-47.38069214829156;2244.9299884511775;-0.73
8.0;1985.0;336.0;56.1142857142857;3148.813061224488;0.86;315.57692354059577;20.42307645940423;417.10205206667115;0.31
9.0;1986.0;329.0;49.1142857142857;2412.2130612244882;0.76;426.2605146231566;-97.26051462315661;9459.60770476126;-1.5
10.0;1987.0;350.0;70.1142857142857;4916.0130612244875;1.08;311.19976160012135;38.80023839987865;1505.458499887418;0.6
11.0;1988.0;401.0;121.1142857142857;14668.670204081629;1.86;220.87754889086008;180.12245110913992;32444.097393564498;2.77
12.0;1989.0;161.0;-118.8857142857143;14133.813061224493;-1.83;196.23283625189592;-35.23283625189592;1241.3527503529112;-0.54
13.0;1991.0;243.0;-36.8857142857143;1360.555918367348;-0.57;257.2231436969848;-14.223143696984778;202.29781662507781;-0.22
14.0;1992.0;182.0;-97.8857142857143;9581.613061224492;-1.51;185.962557738998;-3.9625577389979867;15.701863834892837;-0.06
15.0;1993.0;237.0;-42.8857142857143;1839.1844897959197;-0.66;274.10042782658365;-37.100427826583655;1376.4417449155428;-0.57
16.0;1994.0;378.0;98.1142857142857;9626.413061224486;1.51;285.3064495250986;92.69355047490137;8592.094299643088;1.43
17.0;1995.0;234.0;-45.8857142857143;2105.4987755102056;-0.71;206.9496486131807;27.0503513868193;731.7215101503969;0.42
