Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Group;Augmentation;Data size;Normalization;Equations
;;AdaBoostRegressor;0.32608684484985623;0.9453398170054331;91.8918918918919;0.8936673696158658;0.22730316197677308;0.9738240459936081;96.66666666666667;0.9483332725553608;0;Spline 1;330;none;
;;StackingRegressorRidge;0.36445944472876796;0.9312192615855829;94.5945945945946;0.867169313147998;0.3874102355803222;0.9219074299340467;93.33333333333333;0.8499133093675992;0;Spline 1;330;none;
;;StackingRegressor;0.36582247505737825;0.9306846494612951;97.2972972972973;0.8661739167428938;0.38999015398562936;0.9208190266248114;93.33333333333333;0.8479076797942651;0;Spline 1;330;none;
;;ExtraTreesRegressor;0.3894158202124506;0.9210620603239851;94.5945945945946;0.8483553189682643;0.3926995457055457;0.9196668238023257;93.33333333333333;0.845787066802658;0;Spline 1;330;none;
;;BaggingRegressor;0.42150252403821425;0.9068272284340687;91.8918918918919;0.8223356222294146;0.39453500919892875;0.9188809098661269;93.33333333333333;0.8443421265164012;0;Spline 1;330;none;
;;KNeighborsRegressor;0.4394608407346796;0.8982617488576303;89.1891891891892;0.8068741694607685;0.30559175870562827;0.9521626315977755;96.66666666666667;0.9066136770112011;0;Spline 1;330;none;
;;RandomForestRegressor;0.4449644398812429;0.8955482383664052;89.1891891891892;0.8020066472411718;0.38074697736918045;0.9246792628929411;93.33333333333333;0.8550317392242328;0;Spline 1;330;none;
;;VotingRegressor;0.4574911626210895;0.8892141677479075;86.48648648648648;0.7907018361236038;0.36913344216166716;0.9293764048424509;93.33333333333333;0.8637405018778791;0;Spline 1;330;none;
;;HistGradientBoostingRegressor;0.4839823793654326;0.8750777430970201;83.78378378378379;0.7657610564637745;0.3957459555358663;0.9183600267199157;86.66666666666667;0.8433851386770042;0;Spline 1;330;none;
;;NuSVR;0.9367314154953885;0.35004893261372166;54.054054054054056;0.12253425522400552;0.8649881100534088;0.5017923569228929;73.33333333333333;0.25179556946623183;0;Spline 1;330;none;
;;SVR;0.9404455777414722;0.3399442826501258;54.054054054054056;0.11556211530650828;0.8722735214812906;0.48901830612220293;73.33333333333333;0.23913890372262847;0;Spline 1;330;none;
;;MLPRegressor;0.9458337449698828;0.3246513928450741;54.054054054054056;0.10539852687624662;0.745420267961682;0.6665947975434058;63.33333333333333;0.4443486241119342;0;Spline 1;330;none;
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;102.552 + 0.332*S_2802 + 0.164*Smax + 0.17*H_2802 - 1.525*X - 1.764*X1 + 2.321*X2 + 0.135*X3 + 1.705*Xs;LassoCV;1.8918739284173267;0;29.72972972972973;-2.579186961025208;1.5936237550559593;0;43.333333333333336;-1.539636672678657;0;Spline 1;330;none;102.552 + 0.332*S_2802 + 0.164*Smax + 0.17*H_2802 - 1.525*X - 1.764*X1 + 2.321*X2 + 0.135*X3 + 1.705*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;102.373 + 0.343*S_2802 + 0.15*Smax + 0.181*H_2802 - 1.705*X - 1.949*X1 + 2.508*X2 + 0.132*X3 + 1.885*Xs;Ridge;2.055256998189828;0;29.72972972972973;-3.224081328608264;1.7216298625774256;0;36.666666666666664;-1.964009383718365;0;Spline 1;330;none;102.373 + 0.343*S_2802 + 0.15*Smax + 0.181*H_2802 - 1.705*X - 1.949*X1 + 2.508*X2 + 0.132*X3 + 1.885*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;102.382 + 0.345*S_2802 + 0.147*Smax + 0.182*H_2802 - 1.742*X - 1.987*X1 + 2.547*X2 + 0.132*X3 + 1.923*Xs;RidgeCV;2.0889517604843832;0;29.72972972972973;-3.363719457630805;1.748117035453958;0;36.666666666666664;-2.0559131696443345;0;Spline 1;330;none;102.382 + 0.345*S_2802 + 0.147*Smax + 0.182*H_2802 - 1.742*X - 1.987*X1 + 2.547*X2 + 0.132*X3 + 1.923*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;102.388 + 0.346*S_2802 + 0.146*Smax + 0.183*H_2802 - 1.764*X - 2.008*X1 + 2.569*X2 + 0.131*X3 + 1.944*Xs;LinearRegression;2.108438808293401;0;29.72972972972973;-3.4455142083176993;1.763433599745851;0;36.666666666666664;-2.10969806071261;0;Spline 1;330;none;102.388 + 0.346*S_2802 + 0.146*Smax + 0.183*H_2802 - 1.764*X - 2.008*X1 + 2.569*X2 + 0.131*X3 + 1.944*Xs
S_2802, Smax, H_2802, X, X1, X2, X3, Xs;102.388 + 0.346*S_2802 + 0.146*Smax + 0.183*H_2802 - 1.764*X - 2.008*X1 + 2.569*X2 + 0.131*X3 + 1.944*Xs;LassoLarsCV;2.108438808293401;0;29.72972972972973;-3.4455142083176993;1.7634335997458503;0;36.666666666666664;-2.109698060712608;0;Spline 1;330;none;102.388 + 0.346*S_2802 + 0.146*Smax + 0.183*H_2802 - 1.764*X - 2.008*X1 + 2.569*X2 + 0.131*X3 + 1.944*Xs
