Predictors;Equations;Method;Criterion;Correlation;Pm;R2;Criterion_t;Correlation_t;Pm_t;R2_t;Group;Augmentation;Data size;Normalization;Equations
;;KNeighborsRegressor;0.47278043455924096;0.8811802657220458;83.78378378378379;0.7764786606979752;0.4853031904400642;0.8743459345983686;86.0;0.7644808133486949;2;Spline 1;1000;normal;
;;Ridge;0.7350536750073456;0.6780089194532735;64.86486486486487;0.4596960948581954;0.760138560627636;0.6497610088693733;65.0;0.4221893686469458;2;Spline 1;1000;normal;
;;RidgeCV;0.7440858869037759;0.6680839714516591;64.86486486486487;0.4463361929106212;0.7596271153757096;0.6503588590816446;65.0;0.4229666455859785;2;Spline 1;1000;normal;
;;LassoCV;0.7456959884601461;0.6662863444454237;64.86486486486487;0.4439374927944455;0.759926538977709;0.6500089655976757;65.0;0.42251165535736046;2;Spline 1;1000;normal;
;;LinearRegression;0.7464598720968267;0.6654304316374395;64.86486486486487;0.4427976593491889;0.7595869464342863;0.6504057739647126;65.0;0.4230276708066367;2;Spline 1;1000;normal;
;;LassoLarsCV;0.7464598720968273;0.6654304316374389;64.86486486486487;0.44279765934918813;0.7595869464342861;0.6504057739647127;65.0;0.42302767080663684;2;Spline 1;1000;normal;
;;MLPRegressor;0.7537394941216665;0.657173321887928;64.86486486486487;0.43187677500121413;0.7604613142279618;0.6493832378208427;66.0;0.42169858956268125;2;Spline 1;1000;normal;
;;SVR;2.5666868718566787;0;51.35135135135135;-5.5878814981614235;1.0577420095082406;0;61.0;-0.11881815867853063;2;Spline 1;1000;normal;
;;NuSVR;2.576446413270768;0;54.054054054054056;-5.638076120455804;1.0597801189619702;0;63.0;-0.12313390054704798;2;Spline 1;1000;normal;
