year;d_0;S_2802;Smax;d_smax;H;H_max;d_hmax;X;X1;X2;X3;X4;Xs;y5;y6
1977;12.12.1976;18;41;20.2;73;202;20.04;38;95;71;72;22;61;40;40
1978;28.11.1977;88;94;25.2;130;280;18.03;92;12;12;108;32;92;93;90
1979;02.12.1978;120;125;15.2;182;553;05.04;102;39;38;134;40;102;113;111
1980;08.12.1979;54;88;15.3;104;313;13.04;102;13;35;67;20;80;95;67
1981;31.10.1980;14;33;31.1;148;280;19.03;102;42;20;186;56;123;68;69
1982;02.12.1981;62;79;31.12;124;247;17.03;63;57;10;121;36;107;71;85
1983;03.02.1983;16;22;20.2;135;234;04.04;13;73;71;132;40;14;17;15
1984;29.11.1983;39;44;10.2;120;173;04.04;86;16;15;92;28;87;65;63
1985;11.11.1984;57;73;15.3;78;324;08.04;101;25;38;114;34;88;87;73
1986;15.11.1985;97;97;28.2;119;320;07.04;120;24;23;135;41;121;109;109
1987;08.12.1986;60;66;15.2;84;329;09.04;71;57;49;93;28;79;69;70
1988;05.12.1987;14;32;15.3;116;399;05.04;133;44;59;112;34;116;82;65
1989;27.11.1988;0;40;31.1;103;127;03.03;89;31;3;120;36;116;65;58
1991;16.12.1990;22;44;20.2;154;203;27.03;62;26;18;152;46;70;53;46
1992;05.12.1991;0;17;5.2;95;164;04.03;56;40;3;103;31;90;36;45
1993;30.12.1992;29;29;28.2;149;210;22.03;77;19;18;151;45;78;53;54
1994;10.11.1993;38;45;5.3;212;380;22.03;161;31;39;139;42;155;103;97
1995;14.12.1994;0;10;20.12;128;196;11.03;8;112;23;165;50;97;9;49
1996;03.11.1995;108;117;15.3;110;325;19.04;125;31;41;124;37;115;121;112
1999;09.11.1998;38;41;25.2;118;328;08.04;107;52;46;197;59;113;74;76
2001;19.12.2000;7;18;5.2;71;135;21.03;57;42;25;70;21;74;38;41
2003;30.11.2002;39;54;5.3;103;220;17.03;89;22;29;199;60;82;71;60
2004;31.12.2003;47;61;10.3;108;273;01.04;131;25;34;126;38;127;96;87
2005;16.01.2005;53;53;28.2;120;196;29.03;51;44;44;138;41;52;52;52
2006;19.11.2005;54;71;15.3;111;280;16.04;141;34;53;73;22;123;106;89
2007;23.01.2007;66;66;28.2;121;200;21.03;56;23;21;120;36;58;61;62
2008;22.12.2007;0;16;25.3;83;135;04.03;142;0;14;95;28;89;79;45
2009;13.12.2008;13;21;20.1;107;156;02.04;30;104;46;137;41;89;26;51
2010;11.12.2009;46;81;15.2;175;321;05.04;96;56;38;163;49;118;88;82
2011;27.11.2010;26;54;10.1;148;195;23.03;69;63;6;183;55;123;62;75
2012;14.01.2012;18;51;20.2;101;184;19.03;39;39;17;90;27;60;45;39
2013;02.12.2012;66;100;5.4;108;301;29.04;201;25;77;142;43;144;151;105
2015;24.11.2014;0;10;10.2;86;115;06.03;97;18;8;119;36;107;54;54
2017;03.01.2017;0;44;20.1;160;263;3.03;27;38;7;238;71;62;36;31
2018;08.01.2018;19;36;5.3;142;196;6.04;64;37;46;194;58;58;50;39
2019;21.11.2018;0;36;31.1;116;141;19.03;138;57;39;148;44;152;87;76
2021;06.12.2020;19;75;15.2;126;180;17.03;139;14;13;88;26;140;107;80
