year;d_0;S_2802;Smax;d_smax;H_2802;H;H_max;d_hmax;X;X1;X2;X3;Xs
1977;12.12.1976;22;47;20.2;227;158;281;18.04;49;112;84;72;76
1978;28.11.1977;94;98;25.2;183;180;311;23.03;101;21;21;126;101
1979;02.12.1978;130;136;20.2;194;246;494;5.04;111;42;41;161;111
1980;08.12.1979;63;99;15.3;163;164;357;11.04;119;14;40;78;93
1981;31.10.1980;22;36;31.1;191;180;293;11.03;120;44;18;214;146
1982;02.12.1981;91;96;15.2;182;179;269;17.03;121;15;12;138;124
1983;03.02.1983;18;22;20.2;216;194;292;2.04;12;74;73;153;13
1984;29.11.1983;48;53;10.2;167;142;249;2.04;103;18;17;104;103
1985;11.11.1984;65;82;10.3;156;162;362;6.04;106;28;48;135;96
1986;15.11.1985;106;106;28.2;174;164;354;5.04;126;23;22;159;127
1987;08.12.1986;73;77;15.2;159;155;361;7.04;72;54;43;110;82
1988;05.12.1987;18;31;20.3;167;164;394;3.04;161;35;67;129;130
1989;27.11.1988;0;45;31.12;175;157;187;2.03;77;70;4;147;144
1991;16.12.1990;24;45;20.2;219;179;245;25.03;74;29;20;183;83
1992;05.12.1991;0;16;5.2;216;247;223;5.03;66;46;3;116;105
1993;30.12.1992;31;31;28.2;152;101;252;25.03;113;26;25;177;90
1994;10.11.1993;45;53;5.3;247;219;392;19.03;192;33;41;169;185
1995;14.12.1994;0;10;20.12;222;174;231;10.03;8;123;17;198;114
1996;03.11.1995;115;122;15.3;164;180;345;22.04;146;23;32;142;138
1999;09.11.1998;49;51;25.2;194;194;370;5.04;138;60;53;246;142
2001;19.12.2000;11;22;20.1;228;210;198;20.03;54;70;32;95;92
2003;30.11.2002;37;48;5.3;164;169;264;15.03;91;13;19;207;84
2004;31.12.2003;57;71;31.1;226;179;341;30.03;68;122;41;149;159
2005;16.01.2005;56;56;28.2;183;184;254;5.04;56;52;52;156;57
2006;19.11.2005;55;76;15.3;166;182;346;14.04;151;38;60;94;130
2007;23.01.2007;72;72;28.2;243;249;286;7.03;58;11;9;134;60
2008;22.12.2007;0;16;25.3;118;136;199;8.03;161;0;25;120;101
2009;13.12.2008;17;26;20.1;163;155;214;10.04;35;113;55;152;93
2010;11.12.2009;60;92;15.2;219;242;379;2.04;106;59;40;187;129
2011;27.11.2010;28;60;10.1;247;209;224;10.04;65;86;33;104;115
2012;14.01.2012;27;55;20.2;210;155;254;15.03;39;41;16;101;62
2013;02.12.2012;85;123;5.4;202;134;363;26.04;188;17;63;151;136
2015;24.11.2014;1;13;10.2;154;122;181;9.03;102;20;9;36;113
2017;03.01.2017;0;47;20.1;258;195;275;11.03;27;59;32;228;55
2018;08.01.2018;25;45;5.3;238;177;252;10.04;70;33;45;211;62
2019;21.11.2018;0;57;31.1;175;168;205;18.03;133;64;101;150;152
2021;06.12.2020;21;81;15.2;188;125;218;4.03;139;3;0;100;141
2024;25.11.2023;0;41;20.01;280;;;;137;46;35;197;232
