"01;8F0  - @>25@>G=K5 ?@>3=>7K <0:A8<C<>2 25A5==53> ?>;>2>4LO;;;;;;;;;
@.5<0=->ABK;;;;;;;;;
@548:B>@K:;; Smax, H_2802, X, X1, X3;;;;;;;
#@02=5=85:;; 10.942 + 1.948*Smax - 0.018*H_2802 + 0.531*X + 0.894*X1 + 0.381*X3;;;;;;;
>45;L:;; OMP5;;;;;;;
;;;;;;;;;
;>4;Hmax факти�;Hф-H�;(Hф-Hср;"�50%
>3@5H=>ABL :;8<0B8G5A:8E ?@>3=>7>2 2 4>;OE >B 4>?CAB8<>9 ?>3@5H=>AB8";Hmax прогн;Hф-H;(Hф-Hп);"�50%
>3@5H=>ABL ?@>25@>G=KE ?@>3=>7>2 2 4>;OE >B 4>?CAB8<>9 ?>3@5H=>AB8"
1;1977;202;-43.35;1879.34;-0.71;220.31;-18.31;335.40;-0.30
2;1978;280;34.65;1200.53;0.56;292.44;-12.44;154.70;-0.20
3;1979;553;307.65;94647.69;5.02;392.13;160.87;25877.80;2.62
4;1980;313;67.65;4576.34;1.10;271.82;41.18;1695.67;0.67
5;1981;280;34.65;1200.53;0.56;234.54;45.46;2066.78;0.74
6;1982;247;1.65;2.72;0.03;293.23;-46.23;2137.42;-0.75
7;1983;234;-11.35;128.85;-0.19;173.16;60.84;3701.18;0.99
8;1984;173;-72.35;5234.72;-1.18;189.86;-16.86;284.13;-0.27
9;1985;324;78.65;6185.61;1.28;271.31;52.69;2776.61;0.86
10;1986;320;74.65;5572.42;1.22;334.27;-14.27;203.58;-0.23
11;1987;329;83.65;6997.10;1.36;261.73;67.27;4524.73;1.10
12;1988;399;153.65;23607.91;2.51;223.48;175.52;30808.09;2.86
13;1989;127;-118.35;14007.04;-1.93;207.41;-80.41;6465.92;-1.31
14;1991;203;-42.35;1793.64;-0.69;207.26;-4.26;18.13;-0.07
15;1992;164;-81.35;6618.04;-1.33;146.26;17.74;314.67;0.29
16;1993;210;-35.35;1249.72;-0.58;179.31;30.69;941.75;0.50
17;1994;380;134.65;18130.26;2.20;260.31;119.69;14326.29;1.95
18;1995;196;-49.35;2435.56;-0.80;194.34;1.66;2.74;0.03
19;1996;325;79.65;6343.91;1.30;378.52;-53.52;2864.71;-0.87
20;1999;328;82.65;6830.80;1.35;266.96;61.04;3725.28;1.00
21;2001;135;-110.35;12177.42;-1.80;139.06;-4.06;16.50;-0.07
22;2003;220;-25.35;642.69;-0.41;256.84;-36.84;1357.54;-0.60
23;2004;273;27.65;764.45;0.45;267.10;5.90;34.84;0.10
24;2005;196;-49.35;2435.56;-0.80;230.62;-34.62;1198.56;-0.56
25;2006;280;34.65;1200.53;0.56;280.23;-0.23;0.05;0.00
26;2007;200;-45.35;2056.75;-0.74;232.01;-32.01;1024.82;-0.52
27;2008;135;-110.35;12177.42;-1.80;151.48;-16.48;271.46;-0.27
28;2009;156;-89.35;7983.66;-1.46;210.33;-54.33;2951.57;-0.89
29;2010;321;75.65;5722.72;1.23;328.84;-7.84;61.44;-0.13
30;2011;195;-50.35;2535.26;-0.82;275.31;-80.31;6449.43;-1.31
31;2012;184;-61.35;3763.99;-1.00;197.35;-13.35;178.27;-0.22
32;2013;301;55.65;3096.77;0.91;385.95;-84.95;7216.10;-1.39
33;2015;115;-130.35;16991.47;-2.13;141.67;-26.67;711.49;-0.43
34;2017;263;17.65;311.47;0.29;231.29;31.71;1005.57;0.52
35;2018;196;-49.35;2435.56;-0.80;219.18;-23.18;537.17;-0.38
36;2019;141;-104.35;10889.20;-1.70;257.64;-116.64;13604.83;-1.90
37;2021;180;-65.35;4270.80;-1.07;274.43;-94.43;8917.74;-1.54
!C<<0;;9078;;;;;;;
!@54=89;;245.35;;;;;;;
KAH89;;553;;;;;;;
87H89;;115;;;;;;;
;;;;;;;;;
� = ;;91.00;;� -;A@54=5:204@0B8G5A:>5 >B:;>=5=85 (A<);;;;
�4>? =;;61.33;;�4>? -;4>?CAB8<0O ?>3@5H=>ABL ?@>3=>70 (A<);;;;
Pк ;;45.95;;Pк ;:;8<0B8G5A:0O >15A?5G5==>ABL 2 %;;;;
Pм ;;75.68;;Pм ;>15A?5G5==>ABL <5B>40 2 %;;;;
S =;;64.28;;;(допустимой погрешности �;;;;
S/σ ;;0.71;;S -;A@54=5:204@0B8G5A:0O ?>3@5H=>ABL (A<);;;;
(S/σ)^2 ;;0.50;;S/σ ;:@8B5@89 MDD5:B82=>AB8 <5B>40 ?@>3=>78@>20=8O;;;;
� =;;0.71;;� -;:>@@5;OF8>==>5 >B=>H5=85;;;;
;;;;;(оценка эффективности ме;;;;
;;;;�50% -;?>3@5H=>ABL (>H81:0) ?@>3=>7>2 (A<);;;;
