Predictors;Equations;Method;Criterion;Correlation;Pm
;;VotingRegressor;0.5107254164434814;0.8597438857000569;81.81818181818183
;;StackingRegressorRidge;0.5762340965010012;0.8172846909306909;75.75757575757575
;;HistGradientBoostingRegressor;0.5920515608944549;0.8059000863893983;72.72727272727273
;;AdaBoostRegressor;0.6160953468196039;0.7876715836103471;75.75757575757575
;;ExtraTreesRegressor;0.6322211320795871;0.7747879969075445;78.78787878787878
;;BaggingRegressor;0.6461006397235951;0.763252227870159;72.72727272727273
;;KNeighborsRegressor;0.6794458991970298;0.7337256095192123;78.78787878787878
S_2802, Smax, H_2802, X, X2;395.597 + 1.873*S_2802 + 0.2*Smax + 0.13*H_2802 + 0.108*X + 0.542*X2;Lars5;0.7394857902147147;0.6731721667378405;66.66666666666666
S_2802, H_2802;403.98 + 2.452*S_2802 + 0.159*H_2802;OMP2;0.7399796127994975;0.6726292980840975;69.6969696969697
S_2802;449.626 + 2.345*S_2802;OMP1;0.7416079650168844;0.6708335309326119;66.66666666666666
S_2802, Smax, X, X2;448.669 + 1.581*S_2802 + 0.378*Smax + 0.148*X + 0.029*X2;Lars4;0.742676606440828;0.6696502506872789;63.63636363636363
S_2802, Smax, X;450.024 + 1.57*S_2802 + 0.381*Smax + 0.151*X;Lars3;0.7429652809003677;0.6693299570291454;63.63636363636363
S_2802, H_2802, X2;290.247 + 2.338*S_2802 + 0.38*H_2802 + 1.548*X2;OMP3;0.7543139031801186;0.6565139263330022;69.6969696969697
S_2802, H_2802, X2, Xs;308.21 + 2.397*S_2802 + 0.405*H_2802 + 1.78*X2 - 0.308*Xs;OMP4;0.755856220274596;0.6547376377391187;66.66666666666666
S_2802, X;508.216 + 1.469*S_2802 + 0.008*X;Lars2;0.7719302939563345;0.635707182020533;63.63636363636363
S_2802;510.671 + 1.447*S_2802;Lars1;0.7738124924459737;0.6334147350153372;63.63636363636363
S_2802, Smax, H_2802, X, X2, Xs;349.599 + 1.669*S_2802 + 0.374*Smax + 0.304*H_2802 + 0.955*X + 0.881*X2 - 0.947*Xs;Lars6;0.8134772632493643;0.5815967178177026;63.63636363636363
S_2802, H_2802, X, X2, Xs;316.183 + 2.144*S_2802 + 0.411*H_2802 + 0.972*X + 1.061*X2 - 0.925*Xs;QuantileRegressor;0.8215373575559344;0.5701546896588792;57.57575757575758
S_2802, H_2802, X, X1, X2, Xs;304.67 + 1.984*S_2802 + 0.576*H_2802 + 1.023*X - 1.433*X1 + 2.482*X2 - 1.084*Xs;OMP6;0.889596061227002;0.45674812298399675;51.515151515151516
