year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;X3;Xs;L_2802;L_max;d_lmax;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
1985;11.11.1984;82;90;10.03.1985;123;260;29.03.1985;123;20;31;143;112;71;76;10.03.1985;38.50;27.90;30.80;103;75;75;10.0;7.3;7.2;24.5
1986;15.11.1985;88;92;25.02.1986;156;284;30.03.1986;140;23;19;192;144;81;90;10.03.1986;51.30;44.40;34.90;137;119;84;13.3;11.5;8.2;33.1
1987;07.12.1986;80;92;25.03.1987;128;369;01.04.1987;112;16;33;151;95;80;85;31.03.1987;41.70;31.40;36.30;112;84;88;10.8;8.2;8.5;27.5
1988;05.12.1987;24;65;25.03.1988;153;371;29.03.1988;175;7;60;134;119;127;135;20.03.1988;53.80;81.20;49.70;144;217;120;14.0;21.1;11.7;46.8
1989;27.11.1988;0;46;20.12.1988;122;133;02.03.1989;39;117;3;120;174;0;36;10.01.1989;41.40;89.50;70.90;111;240;172;10.8;23.3;16.7;50.7
1991;14.12.1990;8;30;20.02.1991;232;189;24.03.1991;80;32;19;205;93;62;75;20.02.1991;81.40;86.40;62.80;218;231;152;21.2;22.5;14.8;58.4
1992;05.12.1991;2;19;10.12.1991;118;136;27.03.1992;3;170;52;117;120;44;45;25.02.1992;37.80;39.40;39.40;101;106;95;9.8;10.2;9.3;29.3
1993;17.12.1992;20;20;28.02.1993;91;130;20.03.1993;101;20;20;176;102;36;47;15.03.1993;45.80;53.20;52.70;123;142;127;11.9;13.8;12.4;38.1
1994;08.11.1993;56;70;05.03.1994;162;416;11.03.1994;192;6;16;201;186;66;67;10.03.1994;50.60;102.00;59.00;136;273;143;13.2;26.5;13.9;53.5
1996;02.11.1995;113;131;20.03.1996;171;270;16.04.1996;150;21;29;200;143;43;61;15.02.1996;32.80;33.10;36.00;88;89;87;8.5;8.6;8.5;25.6
1998;18.11.1997;0;28;20.12.1997;136;189;14.04.1998;43;211;88;187;172;0;40;10.02.1998;39.60;77.10;79.30;106;207;192;10.3;20.0;18.6;49.0
1999;08.11.1998;65;65;28.02.1999;156;328;08.03.1999;161;20;19;258;163;67;68;25.02.1999;64.10;80.20;63.30;172;215;153;16.7;20.9;14.9;52.4
2001;17.12.2000;19;34;05.03.2001;167;149;20.03.2001;103;32;39;98;89;25;28;10.03.2001;41.40;40.60;45.20;111;109;109;10.8;10.6;10.6;31.9
2003;29.11.2002;28;35;10.03.2003;113;264;15.03.2003;73;13;17;188;68;96;97;20.02.2003;32.30;38.50;31.40;87;103;76;8.4;10.0;7.4;25.8
2004;23.12.2003;69;81;10.03.2004;182;302;28.03.2004;164;37;46;163;159;12;22;10.01.2004;53.10;48.10;83.20;142;129;201;13.8;12.5;19.5;45.9
2005;17.11.2004;49;84;15.03.2005;103;185;20.03.2005;189;23;57;182;150;29;38;20.03.2005;69.80;66.40;50.60;187;178;122;18.2;17.3;11.9;47.3
2006;18.11.2005;50;79;15.03.2006;116;248;05.04.2006;127;22;44;95;106;98;98;28.02.2006;56.90;50.90;40.20;152;136;97;14.8;13.2;9.4;37.5
2007;23.01.2007;60;60;28.02.2007;133;192;17.03.2007;57;19;18;154;59;27;27;28.02.2007;61.40;87.50;77.50;164;234;187;16.0;22.8;18.2;56.9
2008;23.12.2007;0;23;25.03.2008;113;164;22.04.2008;119;74;126;142;94;14;47;10.01.2008;46.70;46.90;52.40;125;126;127;12.1;12.2;12.3;36.6
2009;08.12.2008;36;36;28.02.2009;121;134;01.04.2009;88;34;31;133;88;33;41;20.01.2009;46.70;37.20;38.20;125;100;92;12.1;9.7;9.0;30.8
2010;11.12.2009;70;84;15.03.2010;204;439;22.03.2010;153;23;40;243;139;76;80;15.02.2010;86.00;59.20;61.60;230;159;149;22.4;15.4;14.5;52.2
2011;26.11.2010;72;86;05.02.2011;185;172;11.04.2011;138;51;28;196;150;31;37;15.03.2011;49.00;74.20;82.50;131;199;200;12.7;19.3;19.4;51.4
2012;20.12.2011;43;43;28.02.2012;174;207;16.03.2012;113;18;14;104;116;44;47;25.02.2012;54.60;66.60;51.40;146;178;124;14.2;17.3;12.1;43.6
2013;02.12.2012;87;132;05.04.2013;150;320;20.04.2013;199;19;62;207;148;11;20;05.02.2013;56.50;53.90;57.00;151;144;138;14.7;14.0;13.4;42.1
2015;18.11.2014;2;15;31.01.2015;111;123;05.03.2015;126;104;8;157;163;35;39;10.03.2015;43.40;61.20;61.50;116;164;149;11.3;15.9;14.4;41.6
2017;08.11.2016;0;32;20.01.2017;171;238;13.03.2017;128;85;48;233;167;53;55;20.02.2017;103.00;77.30;74.90;276;207;181;26.8;20.1;17.6;64.5
2018;08.01.2018;35;58;10.03.2018;125;202;06.04.2018;38;28;38;193;28;41;46;20.03.2018;98.70;95.80;69.90;264;257;169;25.7;24.9;16.4;67.0
2019;20.11.2018;6;65;31.01.2019;112;133;19.03.2019;121;54;33;151;141;17;24;10.12.2018;50.30;51.90;63.20;135;139;153;13.1;13.5;14.8;41.4
2021;07.12.2020;1;56;15.02.2021;164;172;01.03.2021;117;4;0;120;121;2;17;20.12.2020;43.60;41.80;41.80;117;112;101;11.3;10.9;9.8;32.0
2023;17.11.2022;18;51;20.12.2022;143;237;04.04.2023;70;259;83;211;240;8;9;10.03.2023;53.20;117.40;106.80;142;314;258;13.8;30.5;25.1;69.4
