year;d_0;S_2802;Smax;d_smax;H_2802;H;H_max;d_hmax;X;X1;X2;X3;Xs
1977;12.12.1976;18;41;20.2;164;73;202;20.04;38;95;71;72;61
1978;28.11.1977;88;94;25.2;128;130;280;18.03;92;12;12;108;92
1979;02.12.1978;120;125;15.2;130;182;553;5.04;102;39;38;134;102
1980;08.12.1979;54;88;15.3;102;104;313;13.04;102;13;35;67;80
1981;31.10.1980;14;33;31.1;176;148;280;19.03;102;42;20;186;123
1982;02.12.1981;62;79;31.12;114;124;247;17.03;63;57;10;121;107
1983;03.02.1983;16;22;20.2;166;135;234;4.04;13;73;71;132;14
1984;29.11.1983;39;44;10.2;99;120;173;4.04;86;16;15;92;87
1985;11.11.1984;57;73;15.3;68;78;324;8.04;101;25;38;114;88
1986;15.11.1985;97;97;28.2;122;119;320;7.04;120;24;23;135;121
1987;08.12.1986;60;66;15.2;101;84;329;9.04;71;57;49;93;79
1988;05.12.1987;14;32;15.3;132;116;399;5.04;133;44;59;112;116
1989;27.11.1988;0;40;31.1;116;103;127;3.03;89;31;3;120;116
1991;16.12.1990;22;44;20.2;188;154;203;27.03;62;26;18;152;70
1992;05.12.1991;0;17;5.2;137;95;164;4.03;56;40;3;103;90
1993;30.12.1992;29;29;28.2;191;149;210;22.03;77;19;18;151;78
1994;10.11.1993;38;45;5.3;243;212;380;22.03;161;31;39;139;155
1995;14.12.1994;0;10;20.12;177;128;196;11.03;8;112;23;165;97
1996;03.11.1995;108;117;15.3;91;110;325;19.04;125;31;41;124;115
1999;09.11.1998;38;41;25.2;118;118;328;8.04;107;52;46;197;113
2001;19.12.2000;7;18;5.2;77;71;135;21.03;57;42;25;70;74
2003;30.11.2002;39;54;5.3;109;103;220;17.03;89;22;29;199;82
2004;31.12.2003;47;61;10.3;141;108;273;1.04;131;25;34;126;127
2005;16.01.2005;53;53;28.2;138;120;196;29.03;51;44;44;138;52
2006;19.11.2005;54;71;15.3;115;111;280;16.04;141;34;53;73;123
2007;23.01.2007;66;66;28.2;191;121;200;21.03;56;23;21;120;58
2008;22.12.2007;0;16;25.3;122;83;135;4.03;142;0;14;95;89
2009;13.12.2008;13;21;20.1;140;107;156;2.04;30;104;46;137;89
2010;11.12.2009;46;81;15.2;164;175;321;5.04;96;56;38;163;118
2011;27.11.2010;26;54;10.1;189;148;195;23.03;69;63;6;183;123
2012;14.01.2012;18;51;20.2;152;101;184;19.03;39;39;17;90;60
2013;02.12.2012;66;100;5.4;163;108;301;29.04;201;25;77;142;144
2015;24.11.2014;0;10;10.2;91;86;115;6.03;97;18;8;119;107
2017;03.01.2017;0;44;20.1;234;160;263;3.03;27;38;7;238;62
2018;08.01.2018;19;36;5.3;154;142;196;6.04;64;37;46;194;58
2019;21.11.2018;0;36;31.1;220;116;141;19.03;138;57;39;148;152
2021;06.12.2020;19;75;15.2;135;126;180;17.03;139;14;13;88;140
