Таблица  - Проверочные прогнозы максимумов весеннего
половодья р.Неман-Белица по данным, рассчитанным
на дату 28 февраля
Предикторы;; Smax, H, X, X1, X3
Уравнение;; 73.54 + 1.17*Smax + 0.45*H + 0.38*X + 0.18*X1 + 0.15*X3

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;281.0;-8.594594594594582;73.86705624543441;-0.18;237.48257907482093;43.51742092517907;1893.7659239792129;0.89
2.0;1978.0;311.0;21.405405405405418;458.1913805697595;0.44;334.9931307495087;-23.99313074950868;575.6703231630189;-0.49
3.0;1979.0;494.0;204.40540540540542;41781.56975894814;4.16;418.32038565698537;75.67961434301463;5727.404027107426;1.54
4.0;1980.0;357.0;67.40540540540542;4543.488677867058;1.37;328.5615432176528;28.438456782347203;808.7458241614296;0.58
5.0;1981.0;293.0;3.4054054054054177;11.596785975164437;0.07;282.7877056005302;10.212294399469783;104.2909569014419;0.21
6.0;1982.0;269.0;-20.594594594594582;424.1373265157044;-0.42;341.58803135407004;-72.58803135407004;5269.022295859455;-1.48
7.0;1983.0;292.0;2.4054054054054177;5.7859751643536015;0.05;222.56592442829145;69.43407557170855;4821.090850497733;1.41
8.0;1984.0;249.0;-40.59459459459458;1647.9211102994877;-0.83;262.59064353315705;-13.59064353315705;184.70559164534353;-0.28
9.0;1985.0;362.0;72.40540540540542;5242.542731921112;1.48;311.38259983854255;50.617400161457454;2562.121199105113;1.03
10.0;1986.0;354.0;64.40540540540542;4148.056245434625;1.31;351.5972047646779;2.4027952353221167;5.773424942886666;0.05
11.0;1987.0;361.0;71.40540540540542;5098.731921110301;1.45;285.7161808212907;75.28381917870928;5667.6534301325955;1.53
12.0;1988.0;394.0;104.40540540540542;10900.488677867059;2.13;272.4850097719051;121.51499022809492;14765.892850134003;2.48
13.0;1989.0;187.0;-102.59459459459458;10525.650840029215;-2.09;256.5842225840318;-69.5842225840318;4841.964032624082;-1.42
14.0;1991.0;245.0;-44.59459459459458;1988.6778670562444;-0.91;270.776031045233;-25.776031045233026;664.4037764448168;-0.53
15.0;1992.0;223.0;-66.59459459459458;4434.840029218406;-1.36;254.3404813783078;-31.3404813783078;982.225773024058;-0.64
16.0;1993.0;252.0;-37.59459459459458;1413.3535427319202;-0.77;233.10242507074136;18.89757492925864;357.11833820694466;0.39
17.0;1994.0;392.0;102.40540540540542;10486.867056245437;2.09;340.8231811124442;51.17681888755578;2619.066791449686;1.04
18.0;1995.0;231.0;-58.59459459459458;3433.3265157048927;-1.19;204.7405505167573;26.25944948324269;689.5586871629748;0.54
19.0;1996.0;345.0;55.40540540540542;3069.758948137328;1.13;382.58408516832543;-37.58408516832543;1412.5634579399396;-0.77
20.0;1999.0;370.0;80.40540540540542;6465.029218407599;1.64;318.3107897122202;51.689210287779815;2671.7744601743225;1.05
21.0;2001.0;198.0;-91.59459459459458;8389.569758948135;-1.87;236.98443393322123;-38.984433933221226;1519.7860890936906;-0.79
22.0;2003.0;264.0;-25.594594594594582;655.0832724616503;-0.52;279.83917979442447;-15.839179794424467;250.8796165601043;-0.32
23.0;2004.0;341.0;51.40540540540542;2642.5157048940846;1.05;293.85139474891736;47.14860525108264;2222.990977122418;0.96
24.0;2005.0;254.0;-35.59459459459458;1266.975164353542;-0.73;275.03204175206474;-21.032041752064742;442.3467802605946;-0.43
25.0;2006.0;346.0;56.40540540540542;3181.5697589481388;1.15;324.26801622852895;21.73198377147105;472.27911864348107;0.44
26.0;2007.0;286.0;-3.5945945945945823;12.92111029948859;-0.07;320.5275164372665;-34.52751643726651;1192.1493913257093;-0.7
27.0;2008.0;199.0;-90.59459459459458;8207.380569758945;-1.85;240.9359835035827;-41.93598350358269;1758.6267124127596;-0.85
28.0;2009.0;214.0;-75.59459459459458;5714.5427319211085;-1.54;218.24538978115237;-4.245389781152369;18.023334393912958;-0.09
29.0;2010.0;379.0;89.40540540540542;7993.326515704896;1.82;366.97775872309035;12.022241276909654;144.53428532023025;0.24
30.0;2011.0;224.0;-65.59459459459458;4302.650840029217;-1.34;286.58148783948025;-62.581487839480246;3916.442620203014;-1.28
31.0;2012.0;254.0;-35.59459459459458;1266.975164353542;-0.73;246.07184673560988;7.928153264390119;62.855614183659696;0.16
32.0;2013.0;363.0;73.40540540540542;5388.353542731923;1.5;380.3023604845228;-17.302360484522808;299.3716783363763;-0.35
33.0;2015.0;181.0;-108.59459459459458;11792.78597516435;-2.21;196.1054599398652;-15.105459939865199;228.17491999487234;-0.31
34.0;2017.0;275.0;-14.594594594594582;213.0021913805694;-0.3;269.273831821012;5.7261681789880186;32.78900201405496;0.12
35.0;2018.0;252.0;-37.59459459459458;1413.3535427319202;-0.77;272.5677982897059;-20.567798289705877;423.034326486028;-0.42
36.0;2019.0;205.0;-84.59459459459458;7156.245434623811;-1.72;297.29029221951464;-92.29029221951464;8517.498037963405;-1.88
37.0;2021.0;218.0;-71.59459459459458;5125.785975164352;-1.46;300.78520741443526;-82.78520741443526;6853.390566651067;-1.69
