Predictors;Equations;Method;Criterion;Correlation;Pm
;;KNeighborsRegressor;0.5275657934334097;0.8495141750429929;76.66666666666667
;;NuSVR;0.5446689554901868;0.8386511366028361;83.33333333333334
;;SVR;0.544865822235946;0.838523246999835;83.33333333333334
S_2802, Smax, H_2802, X, X2, X3, Xs, L_max, L_2802, Y_sum;56.704 + 0.551*S_2802 + 0.314*Smax + 0.393*H_2802 + 0.104*X + 0.58*X2 + 0.002*X3 + 0.184*Xs - 0.223*L_max + 0.605*L_2802 + 0.211*Y_sum;Lars10;0.5508521193533369;0.8346028652023291;76.66666666666667
S_2802, Smax, H_2802, X, X2, X3, Xs, L_2802, Y_sum;61.998 + 0.566*S_2802 + 0.263*Smax + 0.394*H_2802 + 0.131*X + 0.524*X2 + 0.009*X3 + 0.143*Xs + 0.381*L_2802 + 0.164*Y_sum;Lars9;0.5537059716329261;0.8327122534093258;73.33333333333333
S_2802, Smax, H_2802, X, X2, Xs, L_2802, Y_sum;59.943 + 0.543*S_2802 + 0.265*Smax + 0.359*H_2802 + 0.163*X + 0.368*X2 + 0.117*Xs + 0.395*L_2802 + 0.446*Y_sum;QuantileRegressor;0.5597090816542905;0.828689172074615;80.0
S_2802, Smax, H_2802, X, X1, X2, L_2802, Y_sum;41.334 + 0.572*S_2802 + 0.325*Smax + 0.445*H_2802 + 0.258*X + 0.139*X1 + 0.415*X2 + 0.439*L_2802 + 0.316*Y_sum;OMP8;0.5748833396978388;0.8182353852882795;80.0
S_2802, Smax, H_2802, X, X2, X3, Xs, L_2802;88.353 + 0.554*S_2802 + 0.194*Smax + 0.332*H_2802 + 0.158*X + 0.464*X2 + 0.024*X3 + 0.117*Xs + 0.311*L_2802;Lars8;0.5838152243632313;0.8118865584561121;76.66666666666667
S_2802, Smax, H_2802, X, X1, X2, L_2802;50.15 + 0.565*S_2802 + 0.305*Smax + 0.49*H_2802 + 0.264*X + 0.161*X1 + 0.448*X2 + 0.422*L_2802;OMP7;0.595293340059849;0.8035084562594155;73.33333333333333
S_2802, H_2802, X, X1, X2, L_2802;62.068 + 0.763*S_2802 + 0.464*H_2802 + 0.325*X + 0.167*X1 + 0.418*X2 + 0.373*L_2802;OMP6;0.6261425577957699;0.779708597693376;76.66666666666667
S_2802, H_2802, X, X1, L_2802;59.618 + 0.738*S_2802 + 0.434*H_2802 + 0.477*X + 0.266*X1 + 0.387*L_2802;OMPCV;0.6298681407506564;0.776702082697936;76.66666666666667
S_2802, H_2802, X, X1, L_2802;59.618 + 0.738*S_2802 + 0.434*H_2802 + 0.477*X + 0.266*X1 + 0.387*L_2802;OMP5;0.6298681407506564;0.776702082697936;76.66666666666667
S_2802, Smax, H_2802, X, X1, X2, L_max, L_2802, Y_sum;50.174 + 0.535*S_2802 + 0.37*Smax + 0.4*H_2802 + 0.282*X + 0.194*X1 + 0.415*X2 - 0.399*L_max + 0.79*L_2802 + 0.288*Y_sum;OMP9;0.640740303676157;0.7677576852399369;73.33333333333333
S_2802, X, X1, L_2802;135.968 + 0.641*S_2802 + 0.481*X + 0.29*X1 + 0.297*L_2802;OMP4;0.6863368322632675;0.7272838185184813;63.33333333333333
S_2802, Smax, H_2802, X, X2, X3, L_2802;154.022 + 0.539*S_2802 + 0.015*Smax + 0.085*H_2802 + 0.267*X + 0.195*X2 + 0.053*X3 + 0.132*L_2802;Lars7;0.6908922633439676;0.72295773075018;56.666666666666664
S_2802, H_2802, X, X2, X3, L_2802;158.311 + 0.54*S_2802 + 0.067*H_2802 + 0.272*X + 0.178*X2 + 0.054*X3 + 0.12*L_2802;Lars6;0.6977602209518425;0.71633139960303;56.666666666666664
S_2802, X, L_2802;167.252 + 0.585*S_2802 + 0.362*X + 0.216*L_2802;OMP3;0.6980929208123143;0.7160071744834208;60.0
S_2802, X, X2, X3, L_2802;171.878 + 0.508*S_2802 + 0.28*X + 0.122*X2 + 0.059*X3 + 0.086*L_2802;Lars5;0.7167353694485807;0.697345258950978;56.666666666666664
S_2802, X;174.431 + 0.623*S_2802 + 0.371*X;OMP2;0.7258277941960843;0.6878764519682634;60.0
S_2802, X, X3, L_2802;178.272 + 0.479*S_2802 + 0.304*X + 0.047*X3 + 0.046*L_2802;Lars4;0.7370936577961503;0.675790603394788;56.666666666666664
S_2802, X, X3;184.438 + 0.455*S_2802 + 0.293*X + 0.036*X3;Lars3;0.7592033452504005;0.6508535016119996;56.666666666666664
S_2802, X;196.803 + 0.381*S_2802 + 0.265*X;Lars2;0.7999816178370305;0.600024508768473;53.333333333333336
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Q02;64.884 + 0.55*S_2802 + 0.304*Smax + 0.402*H_2802 - 0.707*X - 0.825*X1 + 1.463*X2 - 0.013*X3 + 1.009*Xs - 0.387*L_max + 0.712*L_2802 + 0.763*Q01 - 0.088*Q02;ElasticNetCV;0.8436206021286132;0.5369397355980986;60.0
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Y_sum;67.009 + 0.553*S_2802 + 0.291*Smax + 0.392*H_2802 - 0.932*X - 1.049*X1 + 1.686*X2 - 0.029*X3 + 1.242*Xs - 0.324*L_max + 0.657*L_2802 + 0.139*Y_sum;Lars11;0.9922136570460593;0.12454741575514491;50.0
X;172.227 + 0.643*X;OMP1;1.000042860327557;0;30.0
X;232.064 + 0.098*X;Lars1;1.0007192133145593;0;30.0
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Y_sum;69.674 + 0.555*S_2802 + 0.283*Smax + 0.392*H_2802 - 1.194*X - 1.315*X1 + 1.966*X2 - 0.039*X3 + 1.511*Xs - 0.349*L_max + 0.671*L_2802 + 0.121*Y_sum;LarsCV;1.1946243729064816;0;40.0
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Y_sum;73.054 + 0.556*S_2802 + 0.279*Smax + 0.416*H_2802 - 1.224*X - 1.356*X1 + 2.029*X2 - 0.015*X3 + 1.524*Xs - 0.424*L_max + 0.705*L_2802 + 1.755*Q01 - 0.315*Y_sum;LassoCV;1.2310567547585334;0;46.666666666666664
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Y_sum;71.436 + 0.557*S_2802 + 0.279*Smax + 0.392*H_2802 - 1.368*X - 1.491*X1 + 2.151*X2 - 0.045*X3 + 1.688*Xs - 0.366*L_max + 0.68*L_2802 + 0.109*Y_sum;Lars12;1.3340299930498583;0;36.666666666666664
S_2802, Smax, H_2802, X, X1, X2, Xs, L_max, L_2802, Y_sum;71.366 + 0.519*S_2802 + 0.303*Smax + 0.373*H_2802 - 1.502*X - 1.612*X1 + 2.286*X2 + 1.799*Xs - 0.393*L_max + 0.688*L_2802 + 0.091*Y_sum;OMP10;1.424369653365062;0;36.666666666666664
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Y_sum;74.142 + 0.555*S_2802 + 0.274*Smax + 0.391*H_2802 - 1.65*X - 1.776*X1 + 2.451*X2 - 0.05*X3 + 1.974*Xs - 0.394*L_max + 0.694*L_2802 + 0.089*Y_sum;OMP11;1.5647153281076067;0;23.333333333333332
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum;85.044 + 0.566*S_2802 + 0.245*Smax + 0.44*H_2802 - 1.718*X - 1.861*X1 + 2.579*X2 - 0.008*X3 + 2.006*Xs - 0.495*L_max + 0.705*L_2802 - 1.011*Q12 + 2.217*Q01 - 1.314*Q02 - 0.251*Y_sum;BayesianRidge;1.6402368019807105;0;36.666666666666664
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Q02, Y_sum;86.726 + 0.568*S_2802 + 0.24*Smax + 0.443*H_2802 - 1.798*X - 1.943*X1 + 2.667*X2 - 0.007*X3 + 2.084*Xs - 0.502*L_max + 0.703*L_2802 + 3.45*Q01 - 0.427*Q02 - 0.779*Y_sum;OMP13;1.7077721545971627;0;36.666666666666664
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Y_sum;84.848 + 0.563*S_2802 + 0.247*Smax + 0.448*H_2802 - 1.795*X - 1.945*X1 + 2.668*X2 - 0.007*X3 + 2.084*Xs - 0.5*L_max + 0.712*L_2802 + 3.624*Q01 - 0.872*Y_sum;OMP12;1.709090070383154;0;36.666666666666664
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum;86.759 + 0.581*S_2802 + 0.227*Smax + 0.449*H_2802 - 1.837*X - 1.986*X1 + 2.71*X2 - 0.014*X3 + 2.128*Xs - 0.496*L_max + 0.696*L_2802 + 30.06*Q12 + 33.514*Q01 + 26.768*Q02 - 14.591*Y_sum;RidgeCV;1.7431877684540964;0;33.33333333333333
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Y_sum;83.488 + 0.567*S_2802 + 0.248*Smax + 0.43*H_2802 - 1.958*X - 2.105*X1 + 2.822*X2 - 0.036*X3 + 2.268*Xs - 0.483*L_max + 0.717*L_2802 + 2.374*Q01 - 0.555*Y_sum;Lars13;1.8408463931254304;0;23.333333333333332
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum;86.918 + 0.664*S_2802 + 0.141*Smax + 0.486*H_2802 - 2.098*X - 2.27*X1 + 2.995*X2 - 0.061*X3 + 2.42*Xs - 0.458*L_max + 0.653*L_2802 + 226.624*Q12 + 230.156*Q01 + 204.639*Q02 - 104.923*Y_sum;OMP14;1.980621698150862;0;23.333333333333332
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum;86.918 + 0.664*S_2802 + 0.141*Smax + 0.486*H_2802 - 2.098*X - 2.27*X1 + 2.995*X2 - 0.061*X3 + 2.42*Xs - 0.458*L_max + 0.653*L_2802 + 226.624*Q12 + 230.156*Q01 + 204.639*Q02 - 104.923*Y_sum;LassoLarsCV;1.9806216981592426;0;23.333333333333332
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q12, Q01, Q02, Y_sum;86.918 + 0.664*S_2802 + 0.141*Smax + 0.486*H_2802 - 2.098*X - 2.27*X1 + 2.995*X2 - 0.061*X3 + 2.42*Xs - 0.458*L_max + 0.653*L_2802 + 226.624*Q12 + 230.156*Q01 + 204.639*Q02 - 104.923*Y_sum;LinearRegression;1.980621698201149;0;23.333333333333332
S_2802, Smax, H_2802, X, X1, X2, X3, Xs, L_max, L_2802, Q01, Y_sum;89.155 + 0.57*S_2802 + 0.233*Smax + 0.451*H_2802 - 2.177*X - 2.333*X1 + 3.078*X2 - 0.028*X3 + 2.479*Xs - 0.533*L_max + 0.73*L_2802 + 3.567*Q01 - 0.896*Y_sum;Lars14;2.0339384692347147;0;20.0
