year;d_0;S_2802;Smax;d_smax;H_2802;H_max;d_hmax;X;X1;X2;Xs;Q12;Q01;Q02;W12;W01;W02;Y12;Y01;Y02;Y_sum
2007;23.01.2007;50;50;28.02.2007;392;759;23.03;49.2;34.4;31.4;52.8;428.0;665.0;274.0;1146.4;1781.1;662.9;27.5;42.7;15.9;86.1
2008;24.12.2007;0;25;20.02.2008;407;689;2.03;61.4;30.7;12.4;82.7;205.0;149.0;165.0;549.1;399.1;399.2;13.2;9.6;9.6;32.3
2009;08.12.2008;69;75;20.03.2009;408;827;9.04;136.0;56.8;45.3;122.8;399.0;152.0;258.0;1068.7;407.1;624.2;25.6;9.8;15.0;50.4
2010;10.12.2009;121;133;10.03.2010;297;1084;7.04;156.4;49.4;61.6;149.2;438.0;224.0;150.0;1173.1;600.0;362.9;28.1;14.4;8.7;51.2
2011;26.11.2010;133;141;10.03.2011;325;947;13.04;189.9;30.1;33.0;186.9;191.0;218.0;232.0;511.6;583.9;561.3;12.3;14.0;13.5;39.7
2012;20.12.2011;79;86;10.03.2012;293;936;26.04;126.7;116.3;126.7;112.9;312.0;263.0;137.0;835.7;704.4;331.4;20.0;16.9;7.9;44.9
2013;02.12.2012;72;119;20.03.2013;320;1100;22.04;153.7;31.1;68.6;118.3;426.0;260.0;202.0;1141.0;696.4;488.7;27.4;16.7;11.7;55.8
2014;13.01.2014;1;7;20.02.2014;354;453;30.03;37.5;31.5;25.4;40.3;386.0;408.0;204.0;1033.9;1092.8;493.5;24.8;26.2;11.8;62.8
2015;18.11.2014;13;35;31.01.2015;280;494;21.04;127.0;97.5;70.4;150.0;46.7;109.0;142.0;125.1;291.9;343.5;3.0;7.0;8.2;18.2
2016;27.12.2015;18;59;20.01.2016;229;513;4.05;52.0;170.4;108.3;122.7;93.0;101.0;181.0;249.1;270.5;437.9;6.0;6.5;10.5;23.0
2017;04.11.2016;31;54;20.01.2017;356;700;4.03;148.9;54.7;14.7;193.2;249.0;284.0;164.0;666.9;760.7;396.7;16.0;18.2;9.5;43.7
2018;08.01.2018;54;76;10.03.2018;321;760;13.04;71.4;22.7;36.9;58.4;590.0;730.0;279.0;1580.3;1955.2;675.0;37.9;46.9;16.2;101.0
2019;20.11.2018;49;91;31.01.2019;224;522;27.03;102.4;57.1;35.2;122.8;83.1;88.1;112.0;222.6;236.0;271.0;5.3;5.7;6.5;17.5
2020;22.11.2019;2;3;10.02.2020;442;564;15.03;130.0;56.6;30.2;152.6;300.0;463.0;477.0;803.5;1240.1;1154.0;19.3;29.7;27.7;76.7
2021;06.12.2020;7;37;20.02.2021;344;687;7.04;107.7;56.6;45.3;118.7;233.0;286.0;231.0;624.1;766.0;558.8;15.0;18.4;13.4;46.7
2022;04.12.2021;43;67;10.02.2022;418;655;16.4;114.3;52.7;30.0;136.7;286.0;276.0;241.0;766.0;739.2;583.0;18.4;17.7;14.0;50.1
2023;17.11.2022;90;100;10.03.2023;322;1118;6.4;284.0;102.9;118.6;261.4;169.0;706.0;390.0;452.6;1891.0;943.5;10.9;45.3;22.6;78.8
